original_object	original_description	gpt_simplification
dipinto (elemento d'insieme)	L'affresco raffigura la Madonna seduta su di un semplice trono lineare, con Gesù Bambino seduto sulle sue ginocchia. Gesù ha al collo una croce ed è in atto benedicente. La Madonna regge nella mano sinistra un libro	Madonna su trono con Gesù Bambino benedicente. Madonna tiene un libro.
dipinto (elemento d'insieme)	L'affresco rappresenta due riquadri inquadranti due busti di profeti biblici, che tengono in mano un cartiglio	Due busti di profeti con cartiglio.
dipinto (elemento d'insieme)	L'affresco rappresenta la resurrezione di Cristo, il quale si erge sul sepolcro, in atto benedicente e col vessillo in mano. Ai lati del sepolcro ci sono i soldati, alcuni dei quali ancora addormentati, mentre di fronte un angelo è seduto sul coperchio del sarcofago poggiato, A destra si affacciano le due Marie con l'ampolla d'olio in mano	Cristo risorge dal sepolcro, benedicente con vessillo. Soldati ai lati, angelo davanti, due Marie con ampolla.
dipinto (elemento d'insieme)	L'affresco rappresenta Maria Maddalena, raffigurata sulla destra, che s'inginocchia davanti Cristo con la vanga in mano. Sull'estrema destra, dietro la figura della Maddalena, si affacciano alcuni apostoli	Maria Maddalena inginocchiata davanti a Cristo con vanga. Apostoli dietro.
dipinto (elemento d'insieme)	L'affresco rappresenta al centro della scena Cristo con le mani giunte avvolto da una nube e sospeso da terra. Al lato sinistro ci sono tre angeli adulti a figura intera, di cui uno tiene in mano un cartiglio. Sulla sinistra c'è un gruppo di figure maschili inginocchiate	Cristo con mani giunte su una nube. Tre angeli a sinistra, uno con cartiglio. Figure
dipinto (elemento d'insieme)	L'affresco raffigura un busto di personaggio maschile visto di profilo, imberbe, e reggente un cartiglio. Il profeta è identificato dalla scritta soprastante il riquadro, che riporta il nome di Daniele	Affresco con busto di uomo di profilo, senza barba, con cartiglio. Scritta sopra: Daniele.
dipinto (elemento d'insieme)	L'affresco raffigura Gioacchino di fronte al sacerdote che gli fa cenno di uscire dal tempio. A sinistra di Gioacchino, vi è un pastore con l'agnello in braccio ed altre figure si stagliano sullo sfondo	Affresco con Gioacchino davanti al sacerdote. A sinistra, un pastore con agnello e altre figure sullo sfondo.
dipinto (elemento d'insieme)	L'affresco raffigura un busto di personaggio maschile visto di profilo, con lunga barba e reggente un cartiglio. Il profeta è non è identificabile dalla scritta soprastante il riquadro, in quanto consunta	Affresco con busto di uomo di profilo, con lunga barba e cartiglio. Scritta sopra consumata.
dipinto (elemento d'insieme)	L'affresco raffigura un busto di personaggio maschile visto di tre quarti, barbuto e reggente un cartiglio. Il profeta è identificabile dalla scritta soprastante il riquadro, che riporta il nome di Mosé	Affresco con busto di uomo di tre quarti, con barba e cartiglio. Scritta sopra: Mosé.
dipinto (elemento d'insieme)	L'affresco raffigura San Gioacchino e Sant'Anna che s'incontrano e si abbracciano. A destra di Sant'Anna di proporzioni minori, un'altra figura femminile	Affresco con San Gioacchino e Sant'Anna che si abbracciano. A destra, una donna più piccola.
dipinto (elemento d'insieme)	L'affresco raffigura la nascita di Maria, con S. Anna seduta sul letto con le mani giunte, attorniata da figure femminili, di cui tre intente a preparare il bagno per la piccola Maria ed una quarta che porta del cibo alla partoriente	y
dipinto (elemento d'insieme)	L'affresco raffigura l'Annunciazione. L'arcangelo Gabriele è raffigurato sulla sinistra inginocchiato, in atto benedicente e tiene in mano un cartiglio, in secondo piano un vaso di gigli fioriti; in alto, in un clipeo con cornice bombata, appare la figura di Dio Padre barbuto. La Vergine è invece raffigurata sulla destra inginocchiata davati al leggio con il libro aperto davanti e le mani giunte, mentre sta per essere raggiunta dalla colomba dello spirito santo. La scena è divisa da una colonna con capitello a foglie d'acanto che regge un soffitto a volte	Affresco con Annunciazione. Arcangelo Gabriele inginocchiato a sinistra con cartiglio, vaso di gigli e Dio Padre. Vergine inginocchiata a destra con libro e mani giunte, colomba sopra.
dipinto (elemento d'insieme)	L'affresco raffigura al centro della scena il sommo sacerdote, abbigliato da una ricca veste broccata e col turbante in testa, che unisce le mani di San Giuseppe raffigurato sulla sinistra e di Maria Vergine, sulla destra. In secondo piano ci sono altre figure, che assistono alla scena. All'estrema destra si affaccia S. Anna	Affresco con sacerdote che unisce le mani di San Giuseppe a sinistra e Maria a destra. Altre figure sullo sfondo, S. Anna a destra.
dipinto (elemento d'insieme)	Verso l'altare è raffigurata la Madonna in gloria tra gli Apostoli; sotto di loro vi sono angeli musicanti	Madonna in gloria tra gli Apostoli, angeli musicanti sotto.
decorazione pittorica (elemento d'insieme)	Entro un ovale, due angeli inginocchiati sorreggono un ostensorio	Due angeli inginocchiati sorreggono un ostensorio.
statua (elemento d'insieme)	San Giovanni, rappresentato con il libro, è riconoscibile per la giovane età	San Giovanni con libro, giovane.
statua (elemento d'insieme)	San Matteo, rappresentato con i libro, non presenta altra caratterizzazione iconografica, si distingue da San Giovanni per la differenza di età	San Matteo con libro, più vecchio di San Giovanni.
dipinto (elemento d'insieme)	In una folla di personaggi, Cristo cade sotto il peso della croce; a sinistra sono raffigurate le mura di Gerusalemme	Cristo cade sotto la croce, mura di Gerusalemme a sinistra.
dipinto (elemento d'insieme)	Gli apostoli sono raffigurati in cerchio, mentre assistono all'ascensione di Cristo, di cui si vedono solo i piedi	Apostoli in cerchio, vedono l'ascensione di Cristo, si vedono solo i piedi.
dipinto (elemento d'insieme)	Maria è incoronata da Cristo e Dio Padre	Maria incoronata da Cristo e Dio Padre.
dipinto (elemento d'insieme)	Maria ed Elisabetta si abbracciano alla presenza di Zaccaria e Giuseppe, in un'ambientazione cittadina	Maria ed Elisabetta si abbracciano con Zaccaria e Giuseppe, in città.
dipinto (elemento d'insieme)	Gesù, Maria e Giuseppe sono raffigurati nella capanna, in alto appare un angelo; alla scena è presente un'altra figura, forse un angelo	Gesù, Maria e Giuseppe nella capanna, angelo sopra, altra figura presente.
dipinto (elemento d'insieme)	Nello stesso ambiente della scena precedente, Cristo è incoronato di spine da due soldati	Cristo incoronato di spine da due soldati, stesso ambiente.
dipinto (elemento d'insieme)	Il Battista è incatenato in carcere, vigilato da tre armigeri. A sinistra, sullo sfondo, un ampio paesaggio, chiaramente ispirato a quello locale, Cristo appare a due discepoli. In primo piano è un grosso cane	Battista in carcere con tre guardie, paesaggio locale, Cristo appare a due discepoli, grande cane in primo piano.
dipinto (elemento d'insieme)	Il Battista, con l'agnello ai piedi, è inginocchiato in preghiera in un paesaggio boschereccio e montagnoso. In alto a sinistra si scorgono due teste d'angioletto	Battista con agnello, inginocchiato in preghiera in paesaggio boschivo e montagnoso, due teste d'angioletto in alto a sinistra.
sportello di tabernacolo (opera isolata)	sportello di tabernacolo centinato con raffigurazione dell'ostensorio raggiato con monogramma cristologico, sorretto da nuvole	Sportello di tabernacolo con ostensorio raggiato e monogramma cristologico, sorretto da nuvole.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'Annuciazione. L'arcangelo Gabriele, in piedi, avanza da sinistra portando un ramo di gigli alla Vergine inginocchiata che si volge di scatto, mentre era intenta a leggere. In alto, al centro, appare la colomba dello spirito santo immersa in una raggiera. La scena si svolge in un sobrio interno arredato solamente con il leggio e il baldacchino del letto riccamente tendato	Tavoletta in legno: Annunciazione. Arcangelo Gabriele porta gigli alla Vergine inginocchiata, colomba dello spirito santo sopra, interno sobrio.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la crocifissione. Al centro della scena è raffigurato Cristo crocifisso con ai lati le figure stanti della Madonna, sulla sinistra con le mani giunte, e di San Giovanni Evangelista con le braccia aperte. Entrambi rivolgono il volto verso l'alto. In cielo si avvicinano le nubi minacciose e sullo sfondo si vede Gerusalemme	Tavoletta in legno: crocifissione. Cristo crocifisso con Madonna e San Giovanni Evangelista, nubi minacciose, Gerusalemme sullo sfondo.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la resurrezione di Cristo. La scena pone al centro la figura di Cristo appena risorto dal sepolcro si eleva verso il cielo ricoperto di nubi. Attorno al sarcofago marmoreo stanno i soldati romani, alcuni ancora addormentati, altri che indietreggiano spaventati dell'accaduto	Tavoletta in legno: resurrezione di Cristo. Cristo risorto si eleva verso il cielo, soldati romani attorno al sarcofago, alcuni dormono, altri spaventati.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la Pentecoste. Al centro della scena è raffigurata la Madonna seduta con un libro aperto in mano attorniata dagli apostoli che con le mani giunte rivolgono lo sguardo verso l'alto, ove appare in una nube la colomba dello spirito santo	Tavoletta in legno: Pentecoste. Madonna con libro aperto, apostoli attorno, colomba dello spirito santo sopra.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'incoronazione di Maria Vergine. In una composizione in cui dominano le fitte nubi che ricoprono tutto lo sfondo, al centro è raffigurata la Vergine con Cristo sulla sinistra e Dio Padre sulla destra che si accingono ad incoronarla. In alto la colomba dello spirito santo	Tavoletta in legno: incoronazione di Maria Vergine. Vergine al centro, Cristo a sinistra e Dio Padre a destra la incoronano, colomba dello spirito santo sopra.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'adorazione dei pastori. Entro una mangiatoia posta sotto una costruzione in mattoni con un'incongruente ingresso ad arcata su colonne doriche, è raffigurata la Madonna sulla sinistra, il Bambino nella culla al centro con alle spalle il bue e l'asino, e i tre pastori sulla destra, con morbide vesti corte e calzari	Tavoletta in legno: adorazione dei pastori. Madonna, Bambino nella culla, bue e asino dietro, tre pastori a destra.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la presentazione di Gesù al tempio. All'interno di una chiesa dalle alte vetrate centinate, sull'altare la Madonna porge il bambino al sacerdote accompagnato da altri due funzionari religiosi. Alla destra della Madonna c'è Sant'Anna	Tavoletta in legno: presentazione di Gesù al tempio. Madonna porge il bambino al sacerdote, Sant'Anna a destra della Madonna.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la flagellazione di Cristo. Al centro della scena è raffigurato Cristo legato ad una colonna, rivestito del solo perizoma annodato. Di fianco vi sono i due soldati romani che lo colpiscono con flagelli. Sulla destra si affacciano ad assistere alla scena due sacerdoti	Tavoletta in legno: flagellazione di Cristo. Cristo legato a una colonna, due soldati romani lo colpiscono, due sacerdoti assistono.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'orazione di Cristo nell'orto di Getsemani. Sulla destra in alto è raffigurato Cristo inginocchiato in preghiera con il volto rivolto verso l'alto ove c'è una nube purtroppo abrasa. In primo piano, riversi sul prato, dormono gli apostoli	Tavoletta in legno: orazione di Cristo nell'orto di Getsemani. Cristo inginocchiato in preghiera in alto a destra, apostoli dormono sul prato.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'incoronazione di spine. Al centro della sena è raffigurato Cristo seduto con le braccia legate, ricoperto da un mantello, mentre tre soldati in piedi dietro di lui sono intenti a porgergli sulla testa la corona di spine. A destra due sacerdoti assistono alla scena	Tavoletta in legno: incoronazione di spine. Cristo seduto con braccia legate, tre soldati gli mettono la corona di spine, due sacerdoti assistono.
pianeta (elemento d'insieme)	Pianeta di velluto rosso con ricami policromi. Sulla parte posteriore il fregio verticale contiene le immagini dei Santi Dalmazzo, Primo e Feliciano; sulla parte anteriore i Santi Rocco e Sebastiano	Pianeta di velluto rosso con ricami di Santi Dalmazzo, Primo e Feliciano dietro, Santi Rocco e Sebastiano davanti.
dipinto	La scena rappresenta Gesù seduto su di un alto trono all'interno di un tempio attorniato dai Dottori	Gesù su un trono alto nel tempio, circondato dai Dottori.
dipinto	La scena rappresenta Cristo legato alla colonna che subisce la flagellazione da parte di tre soldati	Cristo legato alla colonna, flagellato da tre soldati.
tabernacolo (elemento d'insieme)	Il tabernacolo, ornato da sei colonnine tortili, ha uno sportello con due csene intagliate: quella inferiore raffigura l'Annunciazione, quella superiore non è leggibile dalla fotografia	Tabernacolo con sei colonnine tortili e sportello con due scene: Annunciazione sotto, scena superiore non leggibile.
tronetto per esposizione eucaristica (elemento d'insieme)	Al di sopra del tabernacolo è posto il tronetto per l'esposizione eucaristica, il cui dossale, delimitato da volute e teste cherubiche, ha un intaglio raffigurante il Crocifisso. L'oggetto è fiancheggiato da due statue di angeli e sormontato da una corona	Sopra il tabernacolo, tronetto per l'esposizione eucaristica con Crocifisso intagliato, angeli ai lati e corona sopra.
dipinto (elemento d'insieme)	L'episodio, dipinto a sinistra della lunetta, raffigura il santo, che camminando in un paesaggio roccioso, accompagnato da un altro monaco, benedice un gruppo di mendicanti	Affresco a sinistra della lunetta: santo cammina con un monaco, benedice mendicanti.
dipinto (elemento d'insieme)	Al centro della lunetta, entro una cornice giallina con conchiglia centrale, volute e cornucopie laterali, la Madonna col Bambino che porge il ramo di giglio, appare a Sant'Antonio da Padova inginocchiato davanti all'altare, mentre sullo sfondo un gruppo di monaci s'intravedono da un tendaggio scostato	Al centro della lunetta: Madonna col Bambino porge un ramo di giglio a Sant'Antonio da Padova inginocchiato, monaci sullo sfondo.
dipinto (elemento d'insieme)	Nella lunetta, a destra è raffigurato il miracolo dell'asino: ossia per convincere un ebreo, Sant'Antonio mostra un ostensorio ad un asino e questi s'inginocchia	A destra della lunetta: miracolo dell'asino, Sant'Antonio mostra un ostensorio all'asino che si inginocchia.
dipinto (elemento d'insieme)	Episodio della vita di Sant'Antonio raffigurante la predica ai pesci. Il dipinto è sormontato da una cartella con iscrizione	Episodio della vita di Sant'Antonio: predica ai pesci, dipinto con iscrizione sopra.
dipinto (elemento d'insieme)	dipinto raffigurante madonna con bambino in grembo, avvolto da un panneggio di colore chiaro e manto lungo della vergine	Dipinto con Madonna e bambino in grembo, avvolti in un manto chiaro e lungo.
dipinto	Al centro della scena, occupandola quasi totalmente nel senso dell'altezza, è rappresentata la croce con il Cristo crocifisso che rivolge gli occhi al cielo. A sinistra, stante, con lo sguardo dolente rivolto verso il Cristo, è dipinta la Madonna; di fianco a lei, la sostiene San Giovanni Evangelista, mentre più arretrato appare Giuseppe d'Arimatrea. La Maddalena piange inginocchiata ai piedi della croce, mentre sulla destra in secondo piano si vede la figura di un soldato a cavallo	Al centro della scena c'è la croce con Cristo crocifisso che guarda il cielo. A sinistra, la Madonna triste, sostenuta da San Giovanni Evangelista. Giuseppe d'Arimatea è dietro. Maddalena piange ai piedi della croce. A destra, un soldato a cavallo.
dipinto	Santo stante inquadrato da una nicchia coi pennacchi adorni di teste cherubiche. L'imponente figura, ritoccata nella parte terminale della tunica, è frontale, regge un'asta ed apre il mantello rosso. Il volto è glabro, i capelli corti. L'abbigliamento da pellegrino lo fa riconoscere come San Giacomo Maggiore	Santo in una nicchia con teste di cherubini. Figura imponente, in piedi, con un'asta e mantello rosso aperto. Volto senza barba e capelli corti. Abbigliamento da pellegrino, è San Giacomo Maggiore.
dipinto	Figure di santo stante, incorniciato da una semplice nicchia i cui pennacchi sono adorni di teste cherubiche alate. Il manto verde molto ampio è trattenuto dal santo con entrambe le mani, in mezzo alle quali porta un libro; il volto severo ha i tratti tirati ed è quasi calvo	Santo in una semplice nicchia con teste di cherubini. Mantello verde ampio, tiene un libro tra le mani. Volto severo e quasi calvo.
rilievo	Al centro della scena è rappresentato il Cristo, stante, con la corona di spine sul capo e il torso nudo, mentre due soldati gli tolgono la tunica, altri due assistono, mentre una terza figura, in basso a destra, è seduta a terra accanto ad un cesto	Cristo con corona di spine e torso nudo. Due soldati gli tolgono la tunica, altri due assistono. Una terza figura è seduta a terra a destra.
rilievo	La scena raffigura due sgherri che issatisi sulla croce per mezzo di una scala, depongono il corpo di Cristo avvolgendolo in un sudario e passandolo nelle mani di S. Giovanni e di un altra figura maschile di spalle. Sulle sinistra della croce vi son la Madonna e la Maddalena	Due uomini sulla croce tolgono il corpo di Cristo, avvolgendolo in un sudario. Passano il corpo a San Giovanni e un altro uomo. A sinistra della croce, Madonna e Maddalena.
rilievo	La scena raffigura il corpo esanime di Cristo, avvolto dal sudario e deposto nel sepolcro da due uomini con ampio copricapo e pianto dalla Madonna, Maddalena e San Giovanni Evangelista	Corpo esanime di Cristo nel sudario, deposto nel sepolcro da due uomini con copricapo. Pianto da Madonna, Maddalena e San Giovanni Evangelista.
rilievo	Al centro della scena è rappresentato il Cristo, in piedi, che rivece la croce, con due sgherri che lo aiutano ad issarla, un soldato con elmo, corta tunica e calzari. Un altro soldato è sulla sinistra, in sella ad un cavallo, che tiene in mano il vessillo romano. Sullo sfondo, una costruzione con arcata	Cristo in piedi riceve la croce. Due soldati lo aiutano, un soldato con elmo e vessillo romano a sinistra. Sullo sfondo, una costruzione con arcata.
rilievo	In primo piano è raffigurato Cristo che cade a terra, sotto il peso della croce. Sopra di lui due sgherri cercano di raccoglierlo ed un altro sta per colpirlo con un bastone. Sulla sinistra, in basso, uno sgherro cerca di trascinare Cristo a terra per una fune, mentre in alto inveisce un soldato a cavallo	Cristo cade sotto la croce. Due soldati cercano di rialzarlo, un altro lo colpisce con un bastone. A sinistra, un soldato lo tira con una fune, un altro inveisce da cavallo.
rilievo	In primo piano è raffigurato Cristo, con la croce sulla spalla, mentre dietro di lui sono raffigurati due soldati di cui uno a cavallo. Simone il Cireneo, è rappresentato con turbante in testa, sulla destra, in atto di sollevare la parte terminale della croce. Sulla sinistra, due sgherri di cui uno in basso tira Cristo per la fune	Cristo con croce sulla spalla. Due soldati dietro, uno a cavallo. Simone il Cireneo con turbante solleva la croce a destra. Due soldati tirano Cristo con una fune a sinistra.
rilievo	Al centro della scena è rappresentato Cristo con la croce sulla spalla. Sulla sinistra gli si avvicina la Veronica che tiene in mano il panno nel quale Cristo si asciugherà il volto. La donna è dipinta di profilo ed inginocchiata. Dietro di lei uno sgherro tira la fune che lega Cristo, il quale ha dietro di sè un soldato che gli tiene la testa e cerca di colpirlo con un bastone. All'estrema destra, Simone il Cireneo regge la parte terimnale della croce	Cristo con croce sulla spalla. Veronica si avvicina con un panno per asciugargli il volto. Dietro di lei, un soldato tira la fune attaccata a Cristo. Un altro soldato cerca di colpirlo con un bastone. Simone il Cireneo regge la croce a destra.
rilievo	Al centro della scena vi è Cristo caduto sotto il peso della croce, attorniato dai soldati di cui uno con un bastone in mano	Cristo cade sotto la croce, circondato da soldati. Uno ha un bastone in mano.
dipinto	Il dipinto raffigura al centro della scena Pilato sul trono, attorniato da soldati romani e la figura di Cristo posta sulla sinistra, con la corona di spine sulla testa e vestita con una lunga tunica	Pilato su trono, soldati romani attorno. Cristo a sinistra con corona di spine e lunga tunica.
dipinto	Il dipinto raffigura Cristo al centro della scena, in primo piano, visto frontalmente, mentre due soldati ai lati gli stanno togliendo la lunga tunica. In secondo piano una fitta folla di astanti e un paesaggio collinare	Cristo al centro, due soldati gli tolgono la tunica. Folla e paesaggio collinare sullo sfondo.
dipinto	Al centro della scena è raffigurato Cristo deposto dalla croce e disteso sulle gambe di Maria, mentre due personaggi maschili con lunghe tuniche sono ancora issati sulle scale. Sulla sinistra della croce ci sono due donne dolenti, sulla destra San Giovanni ed in primo piano la Maddalena piangente	Cristo deposto dalla croce, disteso sulle gambe di Maria. Due uomini sulle scale, due donne a sinistra, San Giovanni e Maddalena piangente a destra.
