Annotatore	ID	Claude_Sonnet_simplification_P2	Semplificazioni (SEM)	Soggetto Esplicito (SOE)	Frasi Nominali (FNO)	Frasi seA2lici (FSE)	Sigle o abbreviazioni (SIG)	Espressioni figurate (EFI)	Parafrasi (PAR)	
A2	101	Questo affresco mostra Santa Chiara e Santa Caterina da Siena inginocchiate davanti. Dietro ci sono San Francesco e San Domenico.	y	n	y	n	n	n	n	na
A2	102	Questo affresco mostra Santa Margherita con un drago e altre sante. Due sante sono sedute su nuvole.	y	n	y	n	y	n	n	na
A2	103	Questo affresco mostra Maria incoronata da Gesù e Dio Padre. In basso ci sono San Giovanni Battista e un santo soldato.	y	n	y	n	n	n	n	na
A2	104	Questo affresco mostra due santi che guardano la Sacra Sindone tenuta da angeli. Uno sembra San Bernardino e l'altro potrebbe essere San Luigi di Francia.	y	n	n	n	n	n	n	na
A2	105	Questo affresco mostra San Lorenzo e San Sebastiano inginocchiati davanti. Dietro ci sono Santo Stefano e un santo vescovo in piedi. San Lorenzo e San Sebastiano hanno i simboli del loro martirio. Il santo vescovo ha un bastone pastorale e due palle ai suoi piedi.	y	n	y	n	y	n	n	na
A2	106	Questo affresco mostra Santa Maria Maddalena e Santa Caterina d'Alessandria inginocchiate davanti. Dietro ci sono San Rocco e San Luigi di Francia in piedi.	y	n	y	n	y	n	n	na
A2	107	Questo affresco mostra quattro sante: due inginocchiate davanti e due in piedi dietro. Una ha una corona e una bandiera, l'altra indossa abiti da suora.	y	n	n	n	n	n	n	na
A2	108	Questo dipinto mostra una figura con un mantello che svolazza. Ha un'espressione seria e solenne.	n	na	n	n	n	n	n	na
A2	109	Questo dipinto mostra delle figure con espressioni serie e un po' rigide.	n	na	y	n	y	n	n	na
A2	110	Questo dipinto mostra il primo mistero del rosario. È vicino a una nicchia sull'altare.	y	n	n	n	y	n	y	n
A2	111	Questo dipinto mostra il decimo mistero del rosario. È vicino a una nicchia sull'altare.	y	n	n	n	y	n	y	n
A2	112	Questo dipinto mostra il tredicesimo mistero del rosario. È vicino a una nicchia sull'altare.	y	n	n	n	y	n	y	n
A2	113	Questo dipinto mostra il secondo mistero del rosario. È vicino a una nicchia sull'altare.	y	n	n	n	y	n	y	n
A2	114	Questo dipinto mostra il quinto mistero del rosario. È vicino a una nicchia sull'altare.	y	n	n	n	y	n	y	n
A2	115	Questo dipinto mostra il sesto mistero del rosario. È vicino a una nicchia sull'altare.	y	n	n	n	y	n	y	n
A2	116	Questo dipinto mostra l'ottavo mistero del rosario. È vicino a una nicchia sull'altare.	y	n	n	n	y	n	y	n
A2	117	Ci sono quattro busti con la base e il mantello dorati. Dietro sono vuoti per mettere delle reliquie.	y	n	n	n	n	n	n	na
A2	118	Questo dipinto mostra una storia della Bibbia. Ha molti colori verdi che si accordano con gli affreschi del soffitto.	y	n	n	n	n	n	n	na
A2	119	Questo dipinto mostra Salomè ed Erodiade. Salomè tiene un piatto con la testa di San Giovanni Battista. Il corpo di San Giovanni è a terra. Le donne indossano abiti eleganti e gioielli. La scena è in una prigione.	n	na	y	n	y	n	n	na
A2	120	Questo dipinto mostra Sant'Antonio Abate e Sant'Agostino. Guardano in alto verso una colomba. Sant'Antonio ha un bastone con una campanella e un maiale ai piedi. Sant'Agostino ha una mitra (cappello da vescovo) e un bastone pastorale. I colori sono vivaci.	y	y	n	n	y	n	n	na
A2	121	Questo dipinto mostra una scena triste. C'è una mamma che cerca di proteggere il suo bambino da un uomo che vuole prenderlo. Ci sono soldati che prendono altre mamme e bambini. Alcuni bambini scappano. In alto ci sono angeli che guardano. I colori sono marroni, azzurri e grigi.	n	na	y	n	n	n	n	na
A2	122	Questo dipinto mostra Gesù risorto che incontra sua madre Maria. Maria è inginocchiata e tiene le mani di Gesù. Ci sono anche altri santi come Pietro e Giovanni. In alto ci sono angeli che suonano musica.	n	na	y	n	n	n	n	na
A2	123	Questo dipinto mostra Gesù che parla con Maria Maddalena dopo essere risorto. Gesù ha una zappa in mano. Maria Maddalena è inginocchiata davanti a lui. Sullo sfondo si vede la tomba vuota di Gesù.	n	na	y	n	y	n	n	na
A2	124	Questo dipinto mostra Maria con Gesù Bambino. Accanto c'è Giuseppe. Davanti ci sono i Re Magi che portano regali a Gesù. Uno dei Re Magi è inginocchiato, gli altri due sono in piedi.	n	na	y	n	n	n	n	na
A2	125	Questo dipinto mostra un santo vescovo che legge un libro. Ha un cappello speciale chiamato mitra e indossa abiti rossi e dorati.	y	y	n	n	n	n	n	na
A2	126	Questo dipinto mostra San Francesco che guarda un crocifisso. Ha i capelli tagliati a forma di cerchio e indossa un abito marrone. Il suo viso è molto pallido.	n	na	n	n	y	n	n	na
A2	127	Questa statua mostra San Marco che scrive il Vangelo. Ha la barba e un'aureola. Accanto a lui c'è un leone.	n	na	n	n	y	n	n	na
A2	128	Questa statua mostra San Giovanni con un libro aperto. È giovane e senza barba. Accanto a lui c'è un'aquila.	n	na	n	n	y	n	n	na
A2	129	Questa statua mostra San Paolo con una spada. Ha la barba e un'aureola. Indica verso l'alto con un dito.	n	na	n	n	y	n	n	na
A2	130	Questa statua mostra Gesù con un agnello ai suoi piedi. Ha le braccia alzate e indica verso l'alto.	n	na	n	n	n	n	n	na
A2	131	Questa statua mostra Santo Stefano con delle pietre in mano. Indossa abiti speciali e guarda verso l'alto.	n	na	n	n	n	n	n	na
A2	132	Questa statua mostra San Lorenzo. Le sue mani sono in una posizione come se tenesse qualcosa, ma l'oggetto è andato perso.	n	na	n	n	n	n	n	na
A2	133	Questo è un aspersorio, uno strumento per spruzzare acqua santa. Ha decorazioni di foglie.	y	y	n	n	y	n	n	na
A2	134	Questa è una navicella per l'incenso. Ha decorazioni di foglie e teste di angeli. Ci sono dei marchi speciali sotto.	y	n	n	n	y	n	n	na
A2	135	Questa è una conchiglia per il battesimo. Ha decorazioni di foglie. Metà del coperchio sembra una conchiglia.	y	n	n	n	y	n	n	na
A2	136	Questa è una brocca per l'acqua. Ha decorazioni di foglie e un manico curvo. Ci sono marchi speciali sotto.	n	na	n	n	y	n	n	na
A2	137	Questa è una pianeta, un abito da prete. È fatta di tessuto prezioso con disegni in argento e oro.	y	y	n	n	y	n	n	na
A2	138	Questo è un piviale, un mantello da prete. È verde con disegni di vasi e fiori. Ha bordi dorati e frange.	y	y	n	n	y	n	n	na
A2	139	Questa è una pianeta rossa con disegni di fiori e foglie in oro e altri colori. Ha bordi dorati.	y	n	n	n	y	n	n	na
A2	140	Questo è un tessuto prezioso con disegni fatti con fili d'oro e d'argento.	n	na	y	n	n	n	n	na
A2	141	Questa pianeta è un abito da prete di colore viola scuro. Ha disegni di fiori e foglie fatti con fili d'oro e d'argento. I bordi sono decorati con un nastro dorato che sembra un pizzo.	y	y	n	n	n	n	n	na
A2	142	Questo tessuto è bianco con disegni colorati di fiori. Ci sono peonie rosse e garofani. I bordi sono decorati con un nastro dorato che ha disegni di foglie e fiori.	n	na	y	n	n	n	n	na
A2	143	Questo tessuto è giallo e brillante come l'oro. I bordi hanno un nastro d'argento con disegni a rombi. Alcune parti hanno un nastro più nuovo.	n	na	y	n	y	n	n	na
A2	144	Questo tessuto è rosso e brillante come l'oro. I bordi hanno un nastro dorato con disegni di grandi foglie.	n	na	y	n	y	n	n	na
A2	145	Questo tessuto è viola con disegni di grandi mazzi di fiori in vasi. Intorno ai fiori ci sono ghirlande con uva e spighe. I bordi hanno un nastro dorato con disegni di foglie.	n	na	y	n	y	n	n	na
A2	146	Questo tessuto è rosso con disegni di rametti e mazzi di fiori. I bordi hanno un nastro dorato con disegni di foglie di salice e trifoglio.	n	na	y	n	y	n	n	na
A2	147	Questo tessuto bianco è quasi tutto coperto di ricami colorati. Ci sono grandi fiori come garofani e peonie, e piccoli disegni di foglie e frutta. I bordi hanno un nastro d'argento con ricami d'oro.	n	na	y	n	y	n	n	na
A2	148	Questo tessuto è uguale al numero 7.	n	na	y	n	y	n	n	na
A2	149	Questo è un velo per il calice di colore viola chiaro. Ha ricami d'argento con disegni di foglie intrecciate sul bordo.	n	na	n	n	y	n	n	na
A2	150	Questa è una borsa per il corporale di colore viola chiaro. Ha ricami d'argento con foglie sul bordo e una croce al centro.	y	n	n	n	y	n	n	na
A2	151	Questa è una stola bianca. Sui bordi ha ricami dorati di foglie. Al centro c'è una croce dorata e in fondo ci sono delle frange.	y	n	n	n	n	n	n	na
A2	152	Questa pianeta è bianca con molti ricami colorati di fiori e frutta. Ci sono anche ricami dorati. Sul retro c'è il simbolo di San Bernardino.	y	n	y	n	n	n	n	na
A2	153	Questa pianeta è viola con ricami d'argento. Ci sono disegni di foglie, fiori e cesti di fiori. I bordi hanno ricami di rametti intrecciati.	y	n	y	n	n	n	n	na
A2	154	Queste sono quattro piccole immagini che mostrano i quattro evangelisti.	n	na	y	n	n	n	n	na
A2	155	Questo dipinto mostra la nascita di Maria. Si vedono delle donne che lavano la bambina e Sant'Anna a letto.	n	na	y	n	n	n	n	na
A2	156	Questo è un grande dipinto sul soffitto della chiesa. Mostra Maria portata in cielo dagli angeli.	n	na	n	n	y	n	n	na
A2	157	Questo è un grande dipinto sul soffitto della chiesa. Mostra Dio, Gesù e lo Spirito Santo con figure che rappresentano la fede, la speranza e l'amore, e alcuni santi importanti.	n	na	n	n	n	n	n	na
A2	158	Questo dipinto mostra la nascita di Maria. È in una cornice con molti lati curvi.	n	na	n	n	y	n	n	na
A2	159	Questo dipinto mostra quando lo Spirito Santo scende sugli apostoli. È in una cornice con molti lati curvi.	n	na	n	n	n	n	n	na
A2	160	Questo dipinto mostra Gesù trascinato da soldati. C'è un cane che abbaia al suo passaggio.	n	na	y	n	n	n	n	na
A2	161	Questo dipinto mostra Gesù seduto. Alcune persone cattive gli tolgono i vestiti e gli danno da bere qualcosa di brutto.	n	na	y	n	n	n	n	na
A2	162	Questo dipinto mostra Gesù che viene messo sulla croce. Dietro si vedono Maria e altre donne tristi.	n	na	y	n	n	n	n	na
A2	163	Questo dipinto mostra Gesù morto sulle ginocchia di Maria. Vicino ci sono Giovanni e Maria Maddalena molto tristi.	n	na	y	n	n	n	n	na
A2	164	Questo dipinto mostra Gesù morto che viene messo nella tomba. Ci sono delle donne che guardano.	n	na	y	n	n	n	n	na
A2	165	Questo dipinto mostra Gesù che porta la croce. Ci sono soldati e persone cattive intorno a lui.	n	na	y	n	n	n	n	na
A2	166	Questo dipinto mostra Gesù che cade mentre porta la croce. I soldati e le persone cattive lo trattano male.	n	na	y	n	n	n	n	na
A2	167	Questo dipinto mostra Gesù che incontra Maria e altre donne mentre porta la croce. I soldati e le persone cattive lo trattano male.	n	na	y	n	n	n	n	na
A2	168	Questo dipinto mostra Gesù che riceve aiuto da Simone per portare la croce.	n	na	y	n	n	n	n	na
A2	169	Questo dipinto mostra Gesù che incontra la Veronica. Lei mostra un panno con il viso di Gesù. Dietro ci sono i soldati.	n	na	y	n	n	n	n	na
A2	170	Questo dipinto mostra Gesù che cade di nuovo mentre porta la croce. I soldati e le persone cattive lo trattano male.	n	na	y	n	n	n	n	na
A2	171	Questo dipinto mostra Gesù che si gira per parlare con le donne di Gerusalemme che piangono. Davanti c'è un bambino che guarda chi vede il dipinto.	n	na	y	n	n	n	n	na
A2	172	Questo dipinto mostra Gesù che cade ancora una volta mentre porta la croce. I soldati e le persone cattive lo trattano male.	n	na	y	n	n	n	n	na
A2	173	Questa statua mostra un angelo con un vestito largo che tiene la mano di un bambino. L'angelo indica il cielo con l'altra mano.	n	na	y	n	n	n	n	na
A2	174	Questa statua mostra l'arcangelo Michele con un'armatura. Sta pesando le anime su una bilancia. Sotto i suoi piedi c'è Satana, ma la statua è un po' rovinata.	n	na	y	n	n	n	y	n
A2	175	Questi sono 15 piccoli dipinti che mostrano storie importanti della vita di Gesù e Maria. Sono messi intorno a una nicchia centrale e hanno cornici dorate con foglie. I colori sono soprattutto marroni.	y	n	n	n	n	n	n	na
A2	176	Questo è un dipinto ovale che mostra Gesù circondato da luce e angeli.	n	na	y	n	n	n	n	na
A2	177	Questi sono due dipinti rettangolari con cornici decorate con disegni di piante.	n	na	y	n	n	n	n	na
A2	178	Questo dipinto mostra il primo Mistero del Rosario, una storia importante della vita di Maria.	n	na	y	n	y	n	y	y
A2	179	Questo dipinto mostra il decimo Mistero del Rosario, una storia importante della vita di Gesù.	n	na	y	n	y	n	y	y
A2	180	Questo dipinto mostra il tredicesimo Mistero del Rosario, un'altra storia importante della vita di Gesù.	n	na	y	n	y	n	y	y
A2	181	Questo dipinto mostra il quattordicesimo Mistero del Rosario, una storia importante della vita di Gesù.	n	na	y	n	y	n	y	y
A2	182	Questo dipinto mostra il quindicesimo Mistero del Rosario, l'ultima storia importante della vita di Maria.	n	na	y	n	y	n	y	y
A2	183	Questo dipinto mostra il secondo Mistero del Rosario, una storia importante della vita di Maria.	n	na	y	n	y	n	y	y
A2	184	Questo dipinto mostra il quarto Mistero del Rosario, una storia importante della vita di Gesù.	n	na	y	n	y	n	y	y
A2	185	Questo dipinto mostra il sesto Mistero del Rosario, una storia importante della vita di Gesù.	n	na	y	n	y	n	y	y
A2	186	Questo dipinto mostra l'ottavo Mistero del Rosario, una storia importante della vita di Gesù.	n	na	y	n	y	n	y	y
