Annotatore	ID	ChatGPT_simplification_P1	Termini Tecnici (TT)	SeA2lificazioni (SEM)	Soggetto Esplicito (SOE)	Frasi Nominali (FNO)	Frasi seA2lici (FSE)	Sigle o abbreviazioni (SIG)	Espressioni figurate (EFI)	Parafrasi (PAR)
A1	42	Affresco con Gioacchino davanti al sacerdote. A sinistra, un pastore con agnello e altre figure sullo sfondo.	y	n	n	y	n	n	n	na
A1	43	Affresco con busto di uomo di profilo, con lunga barba e cartiglio. Scritta sopra consumata.	y	n	n	y	n	n	n	na
A1	44	Affresco con busto di uomo di tre quarti, con barba e cartiglio. Scritta sopra: Mosé.	y	n	n	y	n	n	n	na
A1	45	Affresco con San Gioacchino e Sant'Anna che si abbracciano. A destra, una donna più piccola.	y	n	n	y	n	n	n	na
A1	46	y	n	na	n	y	n	y	n	na
A1	47	Affresco con Annunciazione. Arcangelo Gabriele inginocchiato a sinistra con cartiglio, vaso di gigli e Dio Padre. Vergine inginocchiata a destra con libro e mani giunte, colomba sopra.	y	n	n	y	n	n	n	na
A1	48	Affresco con sacerdote che unisce le mani di San Giuseppe a sinistra e Maria a destra. Altre figure sullo sfondo, S. Anna a destra.	n	na	n	y	n	y	n	na
A1	49	Madonna in gloria tra gli Apostoli, angeli musicanti sotto.	y	n	n	y	n	n	n	na
A1	50	Due angeli inginocchiati sorreggono un ostensorio.	y	n	y	n	y	n	n	na
A1	51	San Giovanni con libro, giovane.	n	na	n	y	n	n	n	na
A1	52	San Matteo con libro, più vecchio di San Giovanni.	n	na	n	y	n	n	n	na
A1	53	Cristo cade sotto la croce, mura di Gerusalemme a sinistra.	n	na	n	y	n	n	n	na
A1	54	Apostoli in cerchio, vedono l'ascensione di Cristo, si vedono solo i piedi.	y	n	y	n	n	n	n	na
A1	55	Maria incoronata da Cristo e Dio Padre.	n	na	y	n	n	n	n	na
A1	56	Maria ed Elisabetta si abbracciano con Zaccaria e Giuseppe, in città.	n	na	y	n	y	n	n	na
A1	57	Gesù, Maria e Giuseppe nella capanna, angelo sopra, altra figura presente.	n	na	n	y	n	n	n	na
A1	58	Cristo incoronato di spine da due soldati, stesso ambiente.	n	na	y	n	n	n	n	na
A1	59	Battista in carcere con tre guardie, paesaggio locale, Cristo appare a due discepoli, grande cane in primo piano.	n	na	n	y	n	n	n	na
A1	60	Battista con agnello, inginocchiato in preghiera in paesaggio boschivo e montagnoso, due teste d'angioletto in alto a sinistra.	n	na	n	y	n	n	n	na
A1	61	Sportello di tabernacolo con ostensorio raggiato e monogramma cristologico, sorretto da nuvole.	y	n	n	y	n	n	n	na
A1	62	Tavoletta in legno: Annunciazione. Arcangelo Gabriele porta gigli alla Vergine inginocchiata, colomba dello spirito santo sopra, interno sobrio.	n	na	n	y	n	n	n	na
A1	63	Tavoletta in legno: crocifissione. Cristo crocifisso con Madonna e San Giovanni Evangelista, nubi minacciose, Gerusalemme sullo sfondo.	n	na	n	y	n	n	n	na
A1	64	Tavoletta in legno: resurrezione di Cristo. Cristo risorto si eleva verso il cielo, soldati romani attorno al sarcofago, alcuni dormono, altri spaventati.	y	n	n	y	n	n	n	na
A1	65	Tavoletta in legno: Pentecoste. Madonna con libro aperto, apostoli attorno, colomba dello spirito santo sopra.	y	n	n	y	n	n	n	na
A1	66	Tavoletta in legno: incoronazione di Maria Vergine. Vergine al centro, Cristo a sinistra e Dio Padre a destra la incoronano, colomba dello spirito santo sopra.	n	na	n	y	n	n	n	na
A1	67	Tavoletta in legno: adorazione dei pastori. Madonna, Bambino nella culla, bue e asino dietro, tre pastori a destra.	n	na	n	y	n	n	n	na
A1	68	Tavoletta in legno: presentazione di Gesù al teA2io. Madonna porge il bambino al sacerdote, Sant'Anna a destra della Madonna.	n	na	n	y	n	n	n	na
A1	69	Tavoletta in legno: flagellazione di Cristo. Cristo legato a una colonna, due soldati romani lo colpiscono, due sacerdoti assistono.	y	n	n	y	n	n	n	na
A1	70	Tavoletta in legno: orazione di Cristo nell'orto di Getsemani. Cristo inginocchiato in preghiera in alto a destra, apostoli dormono sul prato.	y	n	n	y	n	n	n	na
A1	71	Tavoletta in legno: incoronazione di spine. Cristo seduto con braccia legate, tre soldati gli mettono la corona di spine, due sacerdoti assistono.	n	na	n	y	n	n	n	na
A1	72	Pianeta di velluto rosso con ricami di Santi Dalmazzo, Primo e Feliciano dietro, Santi Rocco e Sebastiano davanti.	y	n	n	y	n	n	n	na
A1	73	Gesù su un trono alto nel teA2io, circondato dai Dottori.	n	na	n	y	n	n	y	n
A1	74	Cristo legato alla colonna, flagellato da tre soldati.	y	n	n	y	n	n	n	na
A1	75	Tabernacolo con sei colonnine tortili e sportello con due scene: Annunciazione sotto, scena superiore non leggibile.	y	n	n	y	n	n	n	na
A1	76	Sopra il tabernacolo, tronetto per l'esposizione eucaristica con Crocifisso intagliato, angeli ai lati e corona sopra.	y	n	n	y	n	n	n	na
A1	77	Affresco a sinistra della lunetta: santo cammina con un monaco, benedice mendicanti.	y	n	n	y	n	n	n	na
A1	78	Al centro della lunetta: Madonna col Bambino porge un ramo di giglio a Sant'Antonio da Padova inginocchiato, monaci sullo sfondo.	y	n	n	y	n	n	n	na
A1	79	A destra della lunetta: miracolo dell'asino, Sant'Antonio mostra un ostensorio all'asino che si inginocchia.	y	n	n	y	n	n	n	na
A1	80	Episodio della vita di Sant'Antonio: predica ai pesci, dipinto con iscrizione sopra.	n	na	n	y	n	n	n	na
A1	81	Dipinto con Madonna e bambino in grembo, avvolti in un manto chiaro e lungo.	y	n	n	y	n	n	n	na
A1	82	Al centro della scena c'è la croce con Cristo crocifisso che guarda il cielo. A sinistra, la Madonna triste, sostenuta da San Giovanni Evangelista. Giuseppe d'Arimatea è dietro. Maddalena piange ai piedi della croce. A destra, un soldato a cavallo.	n	na	y	n	n	n	n	na
A1	83	Santo in una nicchia con teste di cherubini. Figura iA2onente, in piedi, con un'asta e mantello rosso aperto. Volto senza barba e capelli corti. Abbigliamento da pellegrino, è San Giacomo Maggiore.	y	n	n	y	n	n	n	na
A1	84	Santo in una seA2lice nicchia con teste di cherubini. Mantello verde aA2io, tiene un libro tra le mani. Volto severo e quasi calvo.	y	n	n	y	n	n	n	na
A1	85	Cristo con corona di spine e torso nudo. Due soldati gli tolgono la tunica, altri due assistono. Una terza figura è seduta a terra a destra.	y	n	n	y	n	n	n	na
A1	86	Due uomini sulla croce tolgono il corpo di Cristo, avvolgendolo in un sudario. Passano il corpo a San Giovanni e un altro uomo. A sinistra della croce, Madonna e Maddalena.	y	n	n	y	n	n	n	na
A1	87	Corpo esanime di Cristo nel sudario, deposto nel sepolcro da due uomini con copricapo. Pianto da Madonna, Maddalena e San Giovanni Evangelista.	y	n	n	y	n	n	n	na
A1	88	Cristo in piedi riceve la croce. Due soldati lo aiutano, un soldato con elmo e vessillo romano a sinistra. Sullo sfondo, una costruzione con arcata.	y	n	n	y	n	n	n	na
A1	89	Cristo cade sotto la croce. Due soldati cercano di rialzarlo, un altro lo colpisce con un bastone. A sinistra, un soldato lo tira con una fune, un altro inveisce da cavallo.	n	na	y	n	n	n	n	na
A1	90	Cristo con croce sulla spalla. Due soldati dietro, uno a cavallo. Simone il Cireneo con turbante solleva la croce a destra. Due soldati tirano Cristo con una fune a sinistra.	y	n	n	y	n	n	n	na
A1	91	Cristo con croce sulla spalla. Veronica si avvicina con un panno per asciugargli il volto. Dietro di lei, un soldato tira la fune attaccata a Cristo. Un altro soldato cerca di colpirlo con un bastone. Simone il Cireneo regge la croce a destra.	y	n	y	y	n	n	n	na
A1	92	Cristo cade sotto la croce, circondato da soldati. Uno ha un bastone in mano.	n	na	n	y	n	n	n	na
A1	93	Pilato su trono, soldati romani attorno. Cristo a sinistra con corona di spine e lunga tunica.	y	n	y	y	n	n	n	na
A1	94	Cristo al centro, due soldati gli tolgono la tunica. Folla e paesaggio collinare sullo sfondo.	y	n	y	y	n	n	n	na
A1	95	Cristo deposto dalla croce, disteso sulle gambe di Maria. Due uomini sulle scale, due donne a sinistra, San Giovanni e Maddalena piangente a destra.	n	na	y	y	n	n	n	na
A1	96	Cristo con croce sulla spalla, incontra la Madonna con braccia aperte. Volti senza espressione. Soldati romani e donne sullo sfondo.	n	na	y	y	n	n	n	na
A1	97	Cristo disteso a terra sotto la croce, circondato da soldati. Due rialzano la croce, uno tira la fune. Sullo sfondo, alti palazzi.	n	na	n	y	n	n	n	na
A1	98	Cristo deposto nel sepolcro, volto curvo all'indietro. Tre uomini lo posizionano. Maria e altre persone assistono.	n	na	y	y	n	n	n	na
A1	99	Statua di San Domenico con abito bianco e manto nero. Tiene un libro con la mano destra.	n	na	n	y	n	n	n	na
A1	100	Affresco con due inginocchiati, uno con libro, mitra e pastorale, l'altro con pietra e libro. Dietro, due santi in piedi: un papa e un vescovo.	y	n	n	y	n	n	n	na
A2	101	Affresco con Santa Chiara con ostensorio e Santa Caterina da Siena con giglio, inginocchiate. Dietro, San Francesco e San Domenico con giglio.	y	n	n	y	n	n	n	na
A2	102	Affresco con Santa Margherita d'Antiochia col drago e un'altra santa. Sopra, Sant'Agata con palma e piatto coi seni recisi e un'altra santa non identificata.	y	n	n	y	n	n	n	na
A2	103	Affresco con Madonna incoronata da Cristo e Dio Padre, colomba dello Spirito Santo in mezzo. Ai lati, San Giovanni Battista e un santo soldato con vessillo crociato.	y	n	n	y	n	n	n	na
A2	104	Affresco con due santi adorano la Sacra Sindone sorretta da due angeli. Un santo francescano, forse San Bernardino da Siena, e un altro santo.	y	n	n	y	n	n	n	na
A2	105	Affresco con santi Lorenzo e Sebastiano inginocchiati con simboli del martirio. Dietro, Santo Stefano e un vescovo con pastorale e mitra.	y	n	n	y	n	n	n	na
A2	106	Affresco con Santa Maria Maddalena coi lunghi capelli e aA2olla d'olio e Santa Caterina d'Alessandria con corona e ruota, inginocchiate. Dietro, San Rocco in abiti da pellegrino e San Luigi di Francia.	y	n	n	y	n	n	n	na
A2	107	Affresco con due sante inginocchiate e due sante in piedi. Una con corona e vessillo, l'altra in abito monacale.	y	n	n	y	n	n	n	na
A2	108	Dipinto incorniciato con stucco, figura con manto svolazzante ed espressione solenne.	n	na	n	y	n	n	n	na
A2	109	Dipinto incorniciato con stucco, figure con espressione solenne e rigida.	n	na	n	y	n	n	n	na
A2	110	Dipinto del primo mistero del rosario, intorno alla nicchia dell'altare.	y	n	n	y	n	n	y	n
A2	111	Dipinto del decimo mistero del rosario, intorno alla nicchia dell'altare.	y	n	n	y	n	n	y	n
A2	112	Dipinto del tredicesimo mistero del rosario, intorno alla nicchia dell'altare.	y	n	n	y	n	n	y	n
A2	113	Dipinto del secondo mistero del rosario, intorno alla nicchia dell'altare.	y	n	n	y	n	n	y	n
A2	114	Dipinto del quinto mistero del rosario, intorno alla nicchia dell'altare.	y	n	n	y	n	n	y	n
A2	115	Dipinto del sesto mistero del rosario, intorno alla nicchia dell'altare.	y	n	n	y	n	n	y	n
A2	116	Dipinto dell'ottavo mistero del rosario, intorno alla nicchia dell'altare.	y	n	n	y	n	n	y	n
A2	117	Quattro busti con base e manto dorato, dietro svuotati per mettere la reliquia.	y	n	n	y	n	n	n	na
A2	118	Dipinto di episodio biblico non identificato, colori verdi predominanti.	n	na	n	y	n	n	n	na
A2	119	Dipinto con Salomè e Erodiade. Salomè tiene un piatto con la testa di San Giovanni Battista e ha una ricca veste. Erodiade ha un fazzoletto. Scena in prigione.	n	na	n	y	n	n	n	na
A2	120	Due santi di tre quarti, guardano verso la colomba dello Spirito Santo. A sinistra, Sant'Antonio Abate con bastone e maiale. A destra, Sant'Agostino con mitra e pastorale. Colori accesi.	y	n	y	y	n	n	y	n
A2	121	Una donna cerca di proteggere il suo bambino da un uomo con il torso nudo. A destra, un soldato con elmo tiene una donna con un bambino. Altre donne con bambini cercano di fuggire da altri soldati. Sullo sfondo ci sono colonne e alberi. Angeli osservano la scena dall'alto.	y	n	y	n	n	n	n	na
A2	122	Cristo con barba e capelli lunghi, in parte coperto da un manto bianco, guarda la Vergine inginocchiata che gli tiene le mani. Dietro di lei, San Pietro e San Giovanni Evangelista. Un angelo indica verso l'alto. Un uomo con manto rosso solleva la Vergine. Altre figure maschili sullo sfondo. Angeli suonano strumenti musicali in alto.	n	na	y	y	n	n	n	na
A2	123	Cristo con barba e capelli lunghi, in tunica rossa e manto azzurro, indica verso l'alto e si appoggia a una zappa. Guarda una donna inginocchiata con tunica azzurra e manto giallo. A sinistra c'è un albero. A destra, Cristo esce dal sepolcro vicino a una grotta con un angelo. Cielo chiaro con nubi.	n	na	y	y	n	n	n	na
A2	124	Maria Vergine al centro, con veste rosa e manto azzurro, tiene il bambino. San Giuseppe, anziano e barbato, lo sostiene. A destra, i Re Magi: uno calvo con tunica azzurra e mantello di ermellino, un altro con mantello rosso e turbante, il terzo moro con veste blu. Sfondo scuro.	y	n	y	y	n	n	n	na
A2	125	Personaggio a mezzo busto, di tre quarti, guarda verso il basso leggendo un libro. Ha un'aureola e indossa una mitria. Sopra il camice bordato di pizzo, ha un piviale rosso. Sfondo scuro.	y	n	n	y	n	n	n	na
A2	126	Personaggio a mezzo busto, di tre quarti, guarda verso il basso un crocifisso. Ha un'aureola, corta barba e capo tonsurato. Indossa un saio bruno con cappuccio. Sfondo scuro.	y	n	n	y	n	n	n	na
A2	127	Personaggio di tre quarti, chinato verso destra, scrive il Vangelo. Ha un'aureola e barba, fronte steA2iata. Indossa tunica e manto. Un leone accovacciato a destra. Poggia su un basamento dorato.	y	n	n	y	n	n	n	na
A2	128	Personaggio di tre quarti, guarda verso destra, tiene un libro aperto. Ha un'aureola, volto giovanile e capelli mossi. Indossa tunica e manto. Un'aquila scolpita in volo sotto il libro. Poggia su un basamento dorato.	y	n	n	y	n	n	n	na
A2	129	Personaggio stante, rivolto verso sinistra. Ha barba, steA2iato e aureolato. Indossa tunica e mantello. Sandali ai piedi. Tiene una spada in una mano e alza l'altra mano. Poggia su un basamento dorato.	y	n	n	y	n	n	n	na
A2	130	Personaggio stante, frontalmente. Ha barba e aureola. Indossa mantello su una spalla, petto scoperto. Ai piedi un agnello. Poggia su un basamento dorato.	y	n	n	y	n	n	n	na
A2	131	Personaggio stante, rivolto verso destra. Capelli corti, guarda verso l'alto. Indossa tunica e dalmatica. Scarpe ai piedi. Una mano al petto, l'altra alza pietre. Poggia su un basamento dorato.	y	n	n	y	n	n	n	na
A2	132	Personaggio stante, rivolto verso destra. Capelli corti, guarda verso il basso. Indossa tunica e dalmatica. Scarpe ai piedi. Mani in posa per sorreggere una graticola. Poggia su un basamento dorato.	y	n	n	y	n	n	n	na
A2	133	Aspersorio con iA2ugnatura liscia e decorato con foglie di alloro.	y	n	n	y	n	n	n	na
A2	134	Piede circolare con foglie d'acanto. Sottocoppa con grandi foglie d'acanto e coperchio decorato con cherubini. Tre punzoni sulla base: croce mauriziana, testa di toro, marchio non identificabile.	y	n	n	y	n	n	n	na
A2	135	Base circolare con foglie d'acanto. Sottocoppa baccellato e foglia d'acanto al centro. Metà copertura a conchiglia. Tre punzoni sulla base: croce mauriziana, testa di toro, marchio non identificabile.	y	n	n	y	n	n	n	na
A2	136	Piede circolare con grandi foglie. Coppa biconica con becco frastagliato. Manico con voluta elegante. Sottobase con punzoni: titolo 800, croce mauriziana, tre punzoni non identificabili.	y	n	n	y	n	n	n	na
A2	137	Pianeta di tessuto broccato argento con disegno in oro. Disegno con nastri sinuosi e fiori di loto. Usato in modo alternato nella coA2osizione della casula. Privo di galloni, croci intagliate negli accessori.	y	n	n	y	n	n	n	na
A2	138	Piviale in damasco verde con disegno di vaso con fiori stilizzati. Motivo ripetuto verticalmente, circondato da rametti con fiori. Gallone in oro con motivo a losanghe, frangia in filo d'oro.	y	n	y	y	n	n	n	na
A2	139	Tessuto rosso di raso damascato, broccato con fili policromi e oro. Disegno con lunghe foglie frastagliate e grandi fiori colorati. Gallone in oro con motivo di foglie acquatiche.	y	n	y	y	n	n	n	na
A2	140	Tessuto gros rosa-salmone, con disegno a losanghe e trame broccate in oro. Motivo con foglie e fiori.	y	n	y	y	n	n	n	na
A2	141	Pianeta in tessuto viola scuro con disegni in oro e argento. Ha un motivo a nastro viola chiaro con fiori e foglie. Gallone in oro con ramoscelli e foglie.	y	n	n	y	n	n	n	na
A2	142	Tessuto bianco con disegni in oro e fili colorati (bianco, rosso, verde, viola, amaranto, azzurro). Ha due gruppi di fiori alternati: peonie e grappoli di semi e garofani. Gallone in oro con foglie e fiori.	y	n	n	y	n	n	n	na
A2	143	Tessuto giallo laminato in oro. Gallone in argento con motivi a rombi. Il gallone delle maniche di una dalmatica è stato sostituito.	y	n	n	y	n	n	n	na
A2	144	Tessuto rosso laminato in oro. Gallone in oro con grandi foglie acquatiche.	y	n	n	y	n	n	n	na
A2	145	Tessuto viola in seta. Disegno con mazzo di fiori in un vaso. Gallone in oro con motivo a spirale di acanto.	y	n	n	y	n	n	n	na
A2	146	Tessuto rosso in seta. Disegno con ramoscelli e mazzi di fiori. Gallone in oro con foglie di salice a spina di pesce e trifogli.	y	n	n	y	n	n	n	na
A2	147	Tessuto bianco ricamato con fiori grandi e piccoli motivi di foglie, frutta e festoni. Ricamo in fili colorati e oro. Gallone in argento con mandorle, losanghe e acanti.	y	n	n	y	n	n	n	na
A2	148	Tessuto bianco ricamato con fiori grandi e piccoli motivi di foglie, frutta e festoni. Ricamo in fili colorati e oro. Gallone in argento con mandorle, losanghe e acanti.	y	n	n	y	n	n	n	na
A2	149	Velo di calice in seta viola-lilla con ricamo in argento. Bordo con foglie intrecciate.	y	n	n	y	n	n	n	na
A2	150	Borsa del corporale in seta viola-lilla con ricamo in argento. Bordo con foglie intrecciate, centro con croce floreale.	y	n	n	y	n	n	n	na
A2	151	Stola in seta bianca. Estremità con ricamo in oro a foglie piegate e croce greca al centro.	y	n	n	y	n	n	n	na
A2	152	Pianeta in raso di seta bianco con ricamo colorato di fiori e frutta. Monogramma di S. Bernardino sul retro.	y	n	n	y	n	y	n	na
A2	153	Pianeta in seta viola con ricamo in argento. Disegno con foglie e fiori intorno a canestri di fiori. Gallone ricamato con foglie e ramoscelli.	y	n	n	y	n	n	n	na
A2	154	Quattro formelle con gli evangelisti.	y	n	n	y	n	n	n	na
A2	155	Interno con ancelle che lavano una neonata. Sant'Anna nel letto sullo sfondo.	y	n	n	y	n	n	n	na
A2	156	Cupola del presbiterio con Madonna portata in cielo dagli angeli.	y	n	n	y	n	n	n	na
A2	157	Volta della navata principale con Trinità, virtù teologali e dottori della chiesa.	y	n	n	y	n	n	n	na
A2	158	Cornice polilobata con la Nascita della Vergine.	y	n	n	y	n	n	n	na
A2	159	Cornice polilobata con la Pentecoste.	y	n	n	y	n	n	n	na
A2	160	Cristo trascinato da soldati e carnefici, un cane ringhia a destra.	n	na	n	y	n	n	n	na
A2	161	Cristo seduto viene spogliato dai carnefici e gli danno da bere fiele.	y	n	y	n	n	n	n	na
A2	162	Cristo viene inchiodato alla croce; sullo sfondo ci sono la Madonna e le donne dolenti.	n	na	n	n	n	n	n	na
A2	163	Cristo morto è in grembo alla Madonna; intorno ci sono San Giovanni e la Maddalena tristi.	n	na	y	n	n	n	n	na
A2	164	Cristo morto viene calato nel sepolcro; le donne pie assistono alla scena.	n	na	y	n	n	n	n	na
A2	165	Cristo carica la croce aiutato dai soldati e carnefici.	n	na	y	n	n	n	n	na
A2	166	Cristo cade sotto il peso della croce; i soldati e carnefici lo colpiscono.	n	na	y	n	n	n	n	na
A2	167	Cristo, sulla via del Calvario, incontra la Madonna e le donne pie mentre i soldati e carnefici lo colpiscono.	n	na	y	n	n	n	n	na
A2	168	Cristo, sulla via del Calvario, viene aiutato da Simone il Cireneo a portare la croce.	y	n	y	n	n	n	n	na
A2	169	Cristo, sulla via del Calvario, incontra Veronica che mostra il velo con il suo volto; sullo sfondo ci sono i soldati.	y	n	y	n	n	n	n	na
A2	170	Cristo cade sotto il peso della croce; i soldati e carnefici lo colpiscono.	n	na	y	n	n	n	n	na
A2	171	Cristo si volta a consolare le donne di Gerusalemme che piangono lungo la sua salita al Calvario. In primo piano c'è un bambino che guarda lo spettatore.	y	n	y	n	n	n	n	na
A2	172	Cristo cade sotto il peso della croce; i soldati e carnefici lo colpiscono.	n	na	y	n	n	n	n	na
A2	173	Scultura di un angelo con aA2io abito che tiene per mano un bambino e indica il cielo.	n	na	n	y	n	n	n	na
A2	174	Scultura dell'arcangelo Michele in armatura che pesa le anime sulla bilancia; sotto i suoi piedi c'è Satana (in parte rovinata).	n	na	n	y	n	n	y	n
A2	175	I 15 misteri del Rosario sono intorno alla nicchia centrale; cornici in legno dorato con foglie. Toni bruni e monocromi.	n	na	y	y	n	n	y	n
A2	176	Affresco ovale con Cristo in un alone di luce circondato da angeli.	y	n	n	y	n	n	n	na
A2	177	Due pannelli rettangolari con cornici decorate con motivi vegetali stilizzati.	n	na	n	y	n	n	n	na
A2	178	Dipinto del primo Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	n	y	n	n	y	n
A2	179	Dipinto del decimo Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	n	y	n	n	y	n
A2	180	Dipinto del tredicesimo Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	n	y	n	n	y	n
A2	181	Dipinto del quattordicesimo Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	n	y	n	n	y	n
A2	182	Dipinto del quindicesimo Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	n	y	n	n	y	n
A2	183	Dipinto del secondo Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	n	y	n	n	y	n
A2	184	Dipinto del quarto Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	n	y	n	n	y	n
A2	185	Dipinto del sesto Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	n	y	n	n	y	n
A2	186	Dipinto dell'ottavo Mistero del Rosario, secondo l'iconografia del Seicento.	y	n	n	y	n	n	y	n
A2	187	Dipinto della Nascita di Maria, parte di un ciclo tradizionale dedicato all'Assunta.	n	na	n	y	n	n	n	na
A2	188	Dipinto dell'Annunciazione, parte di un ciclo tradizionale dedicato all'Assunta.	n	na	n	y	n	n	n	na
A2	189	Dipinto della Presentazione di Gesù al teA2io, parte di un ciclo tradizionale dedicato all'Assunta.	n	na	n	y	n	n	n	na
A2	190	Decorazione sulla base dell'ostensorio con San Barnaba.	y	n	n	y	n	n	n	na
A2	191	Decorazione sulla base dell'ostensorio con San Baudolino.	y	n	n	y	n	n	n	na
A2	192	San Gregorio, in veste di pontefice, scende lo scalone per fare elemosina ai poveri inginocchiati.	n	na	y	n	n	n	n	na
