Annotatore	ID	ChatGPT_simplification_P2	Semplificazioni (SEM)	Soggetto Esplicito (SOE)	Frasi Nominali (FNO)	Frasi seA2lici (FSE)	Sigle o abbreviazioni (SIG)	Espressioni figurate (EFI)	Parafrasi (PAR)	
A1	35	L'affresco mostra Maria con il Bambino in braccio mentre lo avvicina al sacerdote per la circoncisione. Ai lati ci sono due figure maschili, una con un libro e l'altra con due colombi, accompagnata da una figura femminile. Sullo sfondo c'è la facciata del tempio.	y	n	y	n	n	n	n	na
A1	36	L'affresco mostra la Madonna seduta su un trono semplice con Gesù Bambino sulle ginocchia. Gesù ha una croce al collo ed è in atto benedicente. La Madonna tiene un libro nella mano sinistra.	y	n	y	n	n	n	n	na
A1	37	L'affresco mostra due riquadri con busti di profeti biblici che tengono un cartiglio.	y	n	y	n	n	n	n	na
A1	38	L'affresco mostra la resurrezione di Cristo che si erge sul sepolcro in atto benedicente con un vessillo in mano. Ai lati del sepolcro ci sono soldati, alcuni ancora addormentati. Di fronte, un angelo è seduto sul coperchio del sarcofago. A destra ci sono le due Marie con un'ampolla d'olio.	y	n	y	n	n	n	n	na
A1	39	L'affresco mostra Maria Maddalena inginocchiata davanti a Cristo con una vanga in mano. Dietro di lei ci sono alcuni apostoli.	y	n	y	n	n	n	n	na
A1	40	L'affresco mostra Cristo con le mani giunte, avvolto da una nube e sospeso da terra. A sinistra ci sono tre angeli, uno con un cartiglio. A destra c'è un gruppo di figure maschili inginocchiate.	y	n	y	n	n	n	n	na
A1	41	L'affresco mostra un busto di un uomo visto di profilo, senza barba, che tiene un cartiglio. Sopra il riquadro c'è scritto il nome del profeta Daniele.	y	n	y	n	n	n	n	na
A1	42	L'affresco mostra Gioacchino di fronte a un sacerdote che gli fa cenno di uscire dal tempio. A sinistra di Gioacchino c'è un pastore con un agnello in braccio e altre figure sullo sfondo.	n	na	y	n	n	n	n	na
A1	43	L'affresco mostra un busto di un uomo visto di profilo, con una lunga barba, che tiene un cartiglio. La scritta sopra il riquadro è consumata e non si può identificare il profeta.	y	n	y	n	n	n	n	na
A1	44	L'affresco mostra un busto di un uomo visto di tre quarti, con barba, che tiene un cartiglio. Sopra il riquadro c'è scritto il nome del profeta Mosè.	y	n	y	n	n	n	n	na
A1	45	L'affresco mostra San Gioacchino e Sant'Anna che si incontrano e si abbracciano. A destra di Sant'Anna c'è un'altra figura femminile più piccola.	y	n	y	n	n	n	n	na
A1	46	L'affresco mostra la nascita di Maria. Sant'Anna è seduta sul letto con le mani giunte, circondata da donne. Tre di loro preparano il bagno per la piccola Maria e una quarta porta del cibo a Sant'Anna.	y	n	y	n	n	n	n	na
A1	47	L'affresco mostra l'Annunciazione. L'arcangelo Gabriele è inginocchiato a sinistra, benedicente e con un cartiglio in mano. Dietro di lui c'è un vaso di gigli fioriti. In alto, in un clipeo, appare Dio Padre barbuto. La Vergine è inginocchiata a destra davanti a un leggio con un libro aperto e le mani giunte, mentre la colomba dello Spirito Santo si avvicina. La scena è divisa da una colonna con capitello a foglie d'acanto.	y	n	y	n	n	n	n	na
A1	48	L'affresco mostra al centro il sommo sacerdote con una veste ricca e un turbante, che unisce le mani di San Giuseppe a sinistra e Maria Vergine a destra. In secondo piano ci sono altre figure che assistono alla scena. All'estrema destra si affaccia Sant'Anna.	y	n	y	n	n	n	n	na
A1	49	Verso l'altare è raffigurata la Madonna in gloria tra gli Apostoli. Sotto di loro ci sono angeli che suonano strumenti musicali.	y	n	y	n	n	n	n	na
A1	50	Dentro un ovale, due angeli inginocchiati sorreggono un ostensorio.	y	n	y	n	n	n	n	na
A1	51	San Giovanni è rappresentato con un libro ed è riconoscibile per la sua giovane età.	n	na	y	n	n	n	n	na
A1	52	San Matteo è rappresentato con un libro, senza altre caratteristiche iconografiche. Si distingue da San Giovanni per la differenza di età.	y	n	y	n	n	n	n	na
A1	53	In una folla di persone, Cristo cade sotto il peso della croce. A sinistra ci sono le mura di Gerusalemme.	n	na	y	n	n	n	n	na
A1	54	Gli apostoli sono raffigurati in cerchio mentre assistono all'ascensione di Cristo, di cui si vedono solo i piedi.	y	n	y	n	n	n	n	na
A1	55	Maria è incoronata da Cristo e Dio Padre.	n	na	y	n	n	n	n	na
A1	56	Maria ed Elisabetta si abbracciano alla presenza di Zaccaria e Giuseppe, in un'ambientazione cittadina.	n	na	y	n	n	n	n	na
A1	57	Gesù, Maria e Giuseppe sono raffigurati nella capanna. In alto appare un angelo. C'è un'altra figura nella scena, forse un angelo.	n	na	y	n	y	n	n	na
A1	58	Nello stesso ambiente della scena precedente, Cristo è incoronato di spine da due soldati.	n	na	y	n	n	n	n	na
A1	59	Il Battista è incatenato in carcere, sorvegliato da tre soldati. A sinistra, sullo sfondo, c'è un ampio paesaggio ispirato a quello locale. Cristo appare a due discepoli. In primo piano c'è un grosso cane.	n	na	y	n	n	n	n	na
A1	60	Il Battista, con un agnello ai piedi, è inginocchiato in preghiera in un paesaggio boschivo e montagnoso. In alto a sinistra ci sono due teste di angioletto.	n	na	y	n	n	n	n	na
A1	61	Lo sportello del tabernacolo è decorato con un ostensorio raggiato con il monogramma cristologico, sorretto da nuvole.	y	n	y	n	n	n	n	na
A1	62	Una tavoletta in legno scolpita a rilievo mostra l'Annunciazione. L'arcangelo Gabriele, in piedi, avanza da sinistra con un ramo di gigli verso la Vergine inginocchiata, che si volta di scatto mentre leggeva. In alto, al centro, appare la colomba dello Spirito Santo in una raggiera. La scena si svolge in un interno sobrio con un leggio e un letto riccamente tendato.	y	n	y	n	n	n	y	n
A1	63	Una tavoletta in legno scolpita a rilievo mostra la crocifissione. Al centro c'è Cristo crocifisso, con la Madonna a sinistra con le mani giunte e San Giovanni Evangelista a destra con le braccia aperte. Entrambi guardano verso l'alto. In cielo ci sono nubi minacciose e sullo sfondo si vede Gerusalemme.	y	n	y	n	n	n	n	na
A1	64	Una tavoletta in legno scolpita a rilievo mostra la resurrezione di Cristo. Al centro c'è Cristo appena risorto che si eleva verso il cielo coperto di nubi. Attorno al sarcofago marmoreo ci sono soldati romani, alcuni ancora addormentati, altri spaventati.	y	n	y	n	n	n	n	na
A1	65	Una tavoletta in legno scolpita a rilievo mostra la Pentecoste. Al centro c'è la Madonna seduta con un libro aperto in mano, circondata dagli apostoli che guardano verso l'alto, dove appare la colomba dello Spirito Santo in una nube.	y	n	y	n	n	n	n	na
A1	66	Una tavoletta in legno scolpita a rilievo mostra l'incoronazione di Maria Vergine. Al centro c'è la Vergine con Cristo a sinistra e Dio Padre a destra che si preparano a incoronarla. In alto c'è la colomba dello Spirito Santo. Lo sfondo è coperto di fitte nubi.	y	n	y	n	n	n	n	na
A1	67	Una tavoletta in legno scolpita a rilievo mostra l'adorazione dei pastori. In una mangiatoia sotto una costruzione in mattoni con un ingresso ad arcata su colonne doriche, ci sono la Madonna a sinistra, il Bambino nella culla al centro con il bue e l'asino dietro, e tre pastori a destra con vesti corte e calzari.	y	n	y	n	n	n	n	na
A1	68	Una tavoletta in legno scolpita a rilievo mostra la presentazione di Gesù al tempio. In una chiesa con alte vetrate, la Madonna porge il bambino al sacerdote sull'altare, accompagnata da altri due funzionari religiosi. A destra della Madonna c'è Sant'Anna.	y	n	y	n	n	n	n	na
A1	69	Una tavoletta in legno scolpita a rilievo mostra la flagellazione di Cristo. Al centro c'è Cristo legato a una colonna, vestito solo con un perizoma. Due soldati romani lo colpiscono con flagelli. A destra, due sacerdoti assistono alla scena.	y	n	y	n	n	n	n	na
A1	70	Una tavoletta in legno scolpita a rilievo mostra l'orazione di Cristo nell'orto di Getsemani. In alto a destra c'è Cristo inginocchiato in preghiera, guardando verso una nube. In primo piano, gli apostoli dormono sul prato.	y	n	y	n	n	n	n	na
A1	71	Una tavoletta in legno scolpita a rilievo mostra l'incoronazione di spine. Al centro c'è Cristo seduto con le braccia legate e coperto da un mantello. Tre soldati dietro di lui gli pongono la corona di spine sulla testa. A destra, due sacerdoti assistono alla scena.	y	n	y	n	n	n	n	na
A1	72	Una pianeta di velluto rosso con ricami policromi. Sul retro ci sono le immagini dei Santi Dalmazzo, Primo e Feliciano; sul davanti ci sono i Santi Rocco e Sebastiano.	y	n	n	y	n	n	n	na
A1	73	La scena mostra Gesù seduto su un alto trono all'interno di un tempio, circondato dai Dottori.	n	na	y	n	n	n	y	n
A1	74	La scena mostra Cristo legato a una colonna mentre subisce la flagellazione da parte di tre soldati.	y	n	y	n	n	n	n	na
A1	75	Il tabernacolo è ornato da sei colonnine tortili e ha uno sportello con due scene intagliate: l'Annunciazione in basso e una scena non leggibile in alto.	y	n	y	n	n	n	n	na
A1	76	Sopra il tabernacolo c'è un tronetto per l'esposizione eucaristica, con un dossale decorato con volute e teste di cherubini. Al centro c'è un intaglio del Crocifisso, fiancheggiato da due statue di angeli e sormontato da una corona.	y	n	y	n	n	n	n	na
A1	77	L'episodio dipinto a sinistra della lunetta mostra un santo che cammina in un paesaggio roccioso, accompagnato da un altro monaco, mentre benedice un gruppo di mendicanti.	y	n	y	n	n	n	n	na
A1	78	Al centro della lunetta, dentro una cornice gialla con conchiglia centrale, volute e cornucopie laterali, la Madonna col Bambino porge un ramo di giglio a Sant'Antonio da Padova inginocchiato davanti all'altare. Sullo sfondo si intravedono monaci dietro un tendaggio.	y	n	y	n	n	n	n	na
A1	79	Nella lunetta a destra è raffigurato il miracolo dell'asino: per convincere un ebreo, Sant'Antonio mostra un ostensorio a un asino che si inginocchia.	y	n	y	n	n	n	n	na
A1	80	Un episodio della vita di Sant'Antonio mostra la predica ai pesci. Il dipinto è sormontato da una cartella con iscrizione.	y	n	y	n	n	n	n	na
A1	81	Questo dipinto mostra la Madonna che tiene in grembo un bambino. Entrambi sono avvolti in un tessuto chiaro. La Madonna indossa un lungo mantello.	y	n	y	n	n	n	n	na
A1	82	Al centro del dipinto c'è una croce con Cristo crocifisso che guarda verso il cielo. A sinistra, la Madonna guarda Cristo con dolore. San Giovanni Evangelista la sostiene. Giuseppe d'Arimatea è più indietro. La Maddalena piange ai piedi della croce. A destra, c'è un soldato a cavallo.	n	na	y	n	n	n	n	na
A1	83	Questo dipinto mostra San Giacomo Maggiore in una nicchia decorata con teste di cherubini. San Giacomo è in piedi, tiene un'asta e apre il mantello rosso. Ha il volto senza barba e capelli corti. Indossa abiti da pellegrino.	y	n	y	n	n	n	n	na
A1	84	Il dipinto mostra un santo in piedi in una nicchia semplice con teste di cherubini. Il santo indossa un ampio mantello verde e tiene un libro tra le mani. Ha un volto severo e quasi calvo.	y	n	y	n	n	n	n	na
A1	85	Al centro del dipinto c'è Cristo in piedi con la corona di spine e il torso nudo. Due soldati gli tolgono la tunica. Altri due soldati assistono. Una terza figura è seduta a terra accanto a un cesto.	y	n	y	n	n	n	n	na
A1	86	Due uomini su una scala depongono il corpo di Cristo dalla croce, avvolgendolo in un sudario. San Giovanni e un altro uomo lo prendono. A sinistra della croce ci sono la Madonna e la Maddalena.	y	n	y	n	n	n	n	na
A1	87	Il corpo di Cristo, avvolto in un sudario, è deposto nel sepolcro da due uomini con ampi copricapi. La Madonna, la Maddalena e San Giovanni Evangelista piangono.	y	n	y	n	n	n	n	na
A1	88	Cristo è in piedi al centro del dipinto, riceve la croce con l'aiuto di due uomini. Un soldato con elmo e tunica corta è a cavallo sulla sinistra. Sullo sfondo c'è una costruzione con un arco.	y	n	y	n	n	n	n	na
A1	89	Cristo è a terra sotto il peso della croce. Due uomini cercano di sollevarlo, uno sta per colpirlo con un bastone. Un altro uomo cerca di trascinarlo con una fune. Un soldato a cavallo inveisce dall'alto.	n	na	y	n	n	n	n	na
A1	90	Cristo porta la croce sulla spalla. Dietro di lui ci sono due soldati, uno a cavallo. Simone il Cireneo, con un turbante, solleva la croce. Un uomo tira Cristo con una fune.	y	n	y	n	n	n	n	na
A1	91	Cristo porta la croce sulla spalla. La Veronica si avvicina con un panno per asciugare il volto di Cristo. Dietro di lei, un uomo tira la fune che lega Cristo. Un soldato cerca di colpirlo con un bastone. Simone il Cireneo regge la croce.	y	n	y	n	n	n	n	na
A1	92	Cristo è a terra sotto il peso della croce, circondato da soldati. Uno di loro ha un bastone in mano.	n	na	n	n	n	n	n	na
A1	93	Al centro del dipinto c'è Pilato sul trono, circondato da soldati romani. Cristo è sulla sinistra, con la corona di spine e una lunga tunica.	y	n	y	n	n	n	n	na
A1	94	Cristo è al centro del dipinto, visto frontalmente, mentre due soldati gli tolgono la tunica. Dietro di loro c'è una folla e un paesaggio collinare.	y	n	y	n	n	n	n	na
A1	95	Cristo è deposto dalla croce e disteso sulle gambe di Maria. Due uomini con lunghe tuniche sono ancora sulle scale. A sinistra ci sono due donne dolenti, a destra San Giovanni e la Maddalena piangente.	y	n	y	n	n	n	n	na
A1	96	Cristo porta la croce sulla spalla destra e incontra la Madonna che gli va incontro a braccia aperte. Sullo sfondo ci sono soldati romani e donne tra alti palazzi.	n	na	y	n	n	n	n	na
A1	97	Cristo è a terra sotto il peso della croce, circondato da soldati. Due di loro cercano di rialzare la croce, uno tira la fune che lega Cristo. Sullo sfondo ci sono alti palazzi.	n	na	n	n	n	n	n	na
A1	98	Tre uomini depongono il corpo di Cristo nel sepolcro marmoreo. Maria e altri personaggi assistono alla scena.	y	n	y	n	y	n	n	na
A1	99	Statua di San Domenico in piedi, con un ampio abito bianco e un mantello nero. Tiene un libro con la mano destra.	n	na	n	y	y	n	n	na
A1	100	L'affresco mostra due persone inginocchiate, una con un libro aperto, mitra e pastorale ai piedi, l'altra con una pietra e un libro. Dietro di loro ci sono due santi in piedi: un papa e un vescovo.	y	n	y	n	n	n	n	na
A2	101	L'affresco mostra Santa Chiara inginocchiata con un ostensorio in mano e Santa Caterina da Siena con un giglio. Dietro di loro, più in alto, sono inginocchiati San Francesco e San Domenico con un giglio in mano.	y	n	y	n	n	n	n	na
A2	102	L'affresco mostra Santa Margherita d'Antiochia con un drago ai suoi piedi e un'altra santa. In secondo piano, su delle nuvole, ci sono Sant'Agata con la palma del martirio e un piatto con i seni recisi, e un'altra santa non identificata.	y	n	y	n	n	n	n	na
A2	103	L'affresco mostra la Madonna incoronata da Cristo e Dio Padre, con la colomba dello Spirito Santo in mezzo. In basso, ai lati, ci sono San Giovanni Battista e un santo soldato con un vessillo crociato.	y	n	y	n	n	n	y	n
A2	104	L'affresco mostra due santi che adorano la Sacra Sindone sostenuta in cielo da due angeli. Il santo francescano potrebbe essere San Bernardino da Siena, mentre l'altro santo, con abiti principeschi, potrebbe essere San Luigi di Francia.	y	n	y	n	n	n	y	n
A2	105	L'affresco mostra i santi Lorenzo e Sebastiano inginocchiati con i simboli del martirio. In secondo piano, in piedi, ci sono Santo Stefano e un santo vescovo con pastorale, mitra ai piedi e due palle.	y	n	y	n	n	n	n	na
A2	106	L'affresco mostra Santa Maria Maddalena inginocchiata con lunghi capelli e un'ampolla d'olio, e Santa Caterina d'Alessandria con una corona e una ruota. In secondo piano, in piedi, ci sono San Rocco in abiti da pellegrino e San Luigi di Francia.	y	n	y	n	n	n	n	na
A2	107	L'affresco mostra due sante inginocchiate e altre due in piedi. Una ha una corona e un vessillo, l'altra indossa un abito monacale.	y	n	n	n	n	n	n	na
A2	108	Il dipinto mostra una figura con un mantello svolazzante e un'espressione ieratica, incorniciata da fascioni mistilinei in stucco.	y	n	y	n	n	n	n	na
A2	109	Il dipinto mostra figure con espressioni ieratiche e un po' rigide, incorniciate da fascioni mistilinei in stucco.	y	n	y	n	n	n	n	na
A2	110	Il dipinto mostra il primo mistero del rosario, collocato intorno alla nicchia del dossale d'altare.	y	n	y	n	n	n	y	n
A2	111	Il dipinto mostra il decimo mistero del rosario, collocato intorno alla nicchia del dossale d'altare.	y	n	y	n	n	n	y	n
A2	112	Il dipinto mostra il tredicesimo mistero del rosario, collocato intorno alla nicchia del dossale d'altare.	y	n	y	n	n	n	y	n
A2	113	Il dipinto mostra il secondo mistero del rosario, collocato intorno alla nicchia del dossale d'altare.	y	n	y	n	n	n	y	n
A2	114	Il dipinto mostra il quinto mistero del rosario, collocato intorno alla nicchia del dossale d'altare.	y	n	y	n	n	n	y	n
A2	115	Il dipinto mostra il sesto mistero del rosario, collocato intorno alla nicchia del dossale d'altare.	y	n	y	n	n	n	y	n
A2	116	Il dipinto mostra l'ottavo mistero del rosario, collocato intorno alla nicchia del dossale d'altare.	y	n	y	n	n	n	y	n
A2	117	Ognuno dei quattro busti ha la base e il mantello dorati. Il retro non è rifinito ed è svuotato per permettere l'introduzione della reliquia.	y	n	y	n	n	n	n	na
A2	118	Il dipinto mostra un episodio biblico non identificato. I colori predominanti sono le tonalità verdastre dello sfondo e del paesaggio, che si accordano con i verdi degli affreschi della volta.	y	n	y	n	n	n	n	na
A2	119	Il dipinto mostra Salomè e Erodiade in piedi, una di fronte all'altra. Salomè tiene un piatto con la testa di San Giovanni Battista. Erodiade tiene un fazzoletto. La scena è ambientata in una prigione.	n	na	y	n	y	n	n	na
A2	120	Il dipinto mostra due santi in piedi, di tre quarti, che guardano verso l'alto dove c'è la colomba dello Spirito Santo. A sinistra c'è Sant'Antonio Abate con un maiale ai suoi piedi. A destra c'è Sant'Agostino con una mitra e un pastorale.	y	na	y	n	n	n	y	n
A2	121	Il dipinto mostra una donna seduta che cerca di difendere il suo bambino da un uomo con i capelli corti e il torso nudo. A destra, un soldato con armatura e mantello tiene per i capelli una donna con un bambino. In secondo piano, altre donne con bambini cercano di fuggire dai soldati. Sullo sfondo, ci sono colonne e alberi. In alto, angeli in volo osservano la scena. I colori usati sono tonalità di terra, marrone, azzurro e grigio. La cornice è rettangolare con decorazioni floreali e angoli ornati.	y	n	y	n	n	n	n	na
A2	122	Al centro del dipinto c'è Cristo con barba e capelli lunghi, coperto parzialmente da un manto bianco. Guarda verso la Vergine, inginocchiata di fronte a lui, che gli tiene le mani. Dietro di lei ci sono San Pietro e San Giovanni Evangelista. Un angelo indica verso l'alto. A sinistra, un uomo con corona e mantello rosso solleva una donna. In secondo piano, ci sono altre figure maschili. Sullo sfondo, si vedono un palazzo e una torre. In alto, tre angeli suonano strumenti musicali. La cornice è rettangolare con decorazioni floreali e angoli ornati.	n	na	n	n	n	n	n	na
A2	123	A destra del dipinto c'è Cristo con barba e capelli lunghi, che indossa una tunica rossa e un mantello azzurro. Indica verso l'alto con una mano e si appoggia a una zappa con l'altra. Guarda una donna inginocchiata di fronte a lui, con tunica azzurra e mantello giallo. A sinistra, c'è un albero frondoso. In secondo piano, Cristo esce dal sepolcro vicino a una grotta, con un angelo. Il cielo è chiaro con nubi. La cornice è rettangolare con decorazioni floreali e angoli ornati.	y	n	n	n	n	n	n	na
A2	124	Al centro del dipinto c'è Maria Vergine con un'aureola e un velo. Indossa una veste rosa e un mantello azzurro. Tiene il Bambino nudo, sostenuto anche da San Giuseppe, anziano e barbato, con un mantello giallo. Vicino a lui ci sono strumenti da falegname. A destra, ci sono i Re Magi. Uno è chino verso il Bambino con una tunica azzurra e un mantello di ermellino, e tiene un contenitore d'argento. Dietro di lui, un altro Re Mago con mantello rosso e turbante tiene un altro contenitore. Il terzo Re Mago, moro, con veste e turbante blu, guarda verso la Vergine. Sullo sfondo c'è una colonna. La cornice è in legno intagliato e dorato con decorazioni floreali.	y	n	n	n	n	n	n	na
A2	125	Il dipinto mostra un personaggio a mezzo busto, di tre quarti, che guarda verso il basso leggendo un libro. Ha un'aureola e indossa una mitria chiara con diadema. Sopra il camice bordato di pizzo, indossa un piviale di damasco rosso con fascia gialla. Lo sfondo è scuro. La cornice è in legno intagliato e dorato con decorazioni floreali.	y	n	n	n	n	n	n	na
A2	126	Il dipinto mostra un personaggio a mezzo busto, di tre quarti, che guarda verso il basso osservando un crocifisso tra le mani. Ha un'aureola e una luce intorno alla testa. Indossa un saio bruno con cappuccio. Una mano è sul costato. Il volto è pallido. Lo sfondo è scuro. La cornice è in legno intagliato e dorato con decorazioni floreali.	y	n	n	n	n	n	n	na
A2	127	Il dipinto mostra un personaggio di tre quarti, leggermente chinato verso destra, mentre scrive il Vangelo. Ha un'aureola e una barba, con la fronte leggermente stempiata. Indossa una tunica con maniche lunghe e un mantello. I piedi sono nudi. A destra, c'è un leone accovacciato. La base è dorata con decorazioni floreali.	y	n	n	n	n	n	n	na
A2	128	Il dipinto mostra un personaggio di tre quarti, leggermente rivolto verso destra, con un libro aperto in mano. Ha un'aureola e un volto giovanile senza barba, con capelli mossi. Indossa una tunica con maniche lunghe e un mantello. I piedi sono nudi. A sinistra, sotto il libro, c'è un'aquila in volo. La base è dorata con decorazioni floreali.	y	n	n	n	n	n	n	na
A2	129	Il dipinto mostra un personaggio in piedi, leggermente rivolto verso sinistra. Ha una barba, è stempiato e ha un'aureola. Indossa una tunica con lunghe maniche e un mantello. Ai piedi ha dei sandali. In una mano tiene una spada rivolta verso il basso, l'altra mano è sollevata con l'indice puntato verso l'alto. La base è dorata con decorazioni floreali.	y	n	n	n	n	n	n	na
A2	130	Il dipinto mostra un personaggio in piedi, frontalmente. Ha una barba e un'aureola. Indossa un mantello che copre una spalla e lascia parte del petto scoperto. I piedi sono nudi. Entrambe le braccia sono sollevate, una mano ha l'indice puntato verso l'alto. Ai piedi del personaggio c'è un agnello accovacciato. La base è dorata con decorazioni floreali.	y	n	n	n	n	n	n	na
A2	131	Il dipinto mostra un personaggio in piedi, leggermente rivolto verso destra. Ha i capelli corti e guarda verso l'alto. Indossa una tunica e una dalmatica. Su un polso c'è un manipolo. Ai piedi ha delle scarpe. Una mano è sul petto, l'altra mano sollevata mostra alcune pietre. La base è dorata con decorazioni floreali.	y	n	n	n	n	n	n	na
A2	132	Il dipinto mostra un personaggio in piedi, leggermente rivolto verso destra. Ha i capelli corti e guarda verso il basso. Indossa una tunica e una dalmatica. Ai piedi ha delle scarpe. Le mani sembrano sorreggere una graticola, ora perduta. La base è dorata con decorazioni floreali.	y	n	n	n	y	n	n	na
