Annotatore	ID	Claude_Sonnet_simplification_P3	Termini Tecnici (TT)	Semplificazioni (SEM)	Soggetto Esplicito (SOE)	Frasi Nominali (FNO)	Frasi seA2lici (FSE)	Sigle o abbreviazioni (SIG)	Espressioni figurate (EFI)	Parafrasi (PAR)
A1	32	Dipinto di Gesù che porta la croce. Una donna chiamata Veronica gli asciuga il viso con un panno. Ci sono soldati che spingono Gesù a camminare.	n	na	n	y	n	n	n	na
A1	33	Dipinto di Gesù che porta la croce. Gesù parla con alcune donne. Dietro ci sono uomini che lo spingono.	n	na	n	y	n	n	n	na
A1	34	Dipinto di Gesù che cade con la croce. Gesù è a terra con la corona di spine. Gli uomini lo incitano ad alzarsi, uno lo tira con una corda.	n	na	n	y	n	n	n	na
A1	35	Affresco della circoncisione di Gesù. Maria tiene Gesù Bambino. Un sacerdote fa la circoncisione. Ci sono altre persone, tra cui Giuseppe e Sant'Anna con due colombe. Sullo sfondo si vede il tempio.	y	n	n	y	n	n	n	na
A1	36	Affresco di Maria con Gesù Bambino. Maria è seduta su un trono semplice. Gesù è sulle sue ginocchia. Gesù ha una croce al collo e benedice. Maria tiene un libro.	y	n	n	y	n	n	n	na
A1	37	Affresco con due profeti. Ci sono due riquadri, ognuno con un profeta. I profeti tengono in mano dei cartelli.	y	n	n	y	n	n	n	na
A1	38	Affresco della resurrezione di Gesù. Gesù si alza dal sepolcro, benedice e tiene una bandiera. Ci sono soldati, alcuni ancora addormentati. Un angelo è seduto sul sepolcro. Due donne portano olio.	y	n	n	y	n	n	n	na
A1	39	Affresco di Gesù che appare a Maria Maddalena. Maria Maddalena è in ginocchio davanti a Gesù. Gesù ha una vanga in mano. Dietro si vedono alcuni apostoli.	y	n	n	y	n	n	n	na
A1	40	Affresco dell'ascensione di Gesù. Gesù è al centro, con le mani giunte, circondato da una nuvola e sollevato da terra. A sinistra ci sono tre angeli adulti, uno tiene un cartello. A destra ci sono uomini in ginocchio.	y	n	n	y	n	n	n	na
A1	41	Dipinto di un uomo visto di lato. Non ha barba. Tiene un cartello. Sopra c'è scritto che è il profeta Daniele.	y	n	n	y	y	n	n	na
A1	42	Dipinto di Gioacchino nel tempio. Un sacerdote gli dice di uscire. C'è un pastore con un agnello in braccio. Si vedono altre persone sullo sfondo.	n	na	n	y	y	n	n	na
A1	43	Dipinto di un uomo visto di lato. Ha una lunga barba. Tiene un cartello. Non si legge il nome sopra perché è rovinato.	n	na	n	y	n	n	n	na
A1	44	Dipinto di un uomo visto di tre quarti. Ha la barba. Tiene un cartello. Sopra c'è scritto che è Mosè.	y	n	n	y	n	n	n	na
A1	45	Dipinto di San Gioacchino e Sant'Anna che si abbracciano. Vicino c'è un'altra donna più piccola.	n	na	n	y	n	n	n	na
A1	46	Dipinto della nascita di Maria. Sant'Anna è seduta sul letto con le mani giunte. Ci sono donne che preparano il bagno per Maria e una che porta cibo a Sant'Anna.	n	na	n	y	n	n	n	na
A1	47	Dipinto dell'Annunciazione. L'angelo Gabriele è in ginocchio a sinistra. Benedice e tiene un cartello. C'è un vaso di gigli. In alto c'è Dio Padre con la barba. Maria è in ginocchio a destra davanti a un libro. Una colomba sta arrivando. C'è una colonna in mezzo.	n	na	n	y	n	n	n	na
A1	48	Dipinto del matrimonio di Maria e Giuseppe. Il sacerdote al centro unisce le loro mani. Ha un vestito ricco e un turbante. Ci sono altre persone che guardano. Sant'Anna è sulla destra.	n	na	n	y	n	n	n	na
A1	49	Dipinto di Maria in cielo con gli Apostoli. Sotto ci sono angeli che suonano.	y	n	n	y	n	n	n	na
A1	50	Dipinto ovale con due angeli in ginocchio che tengono un ostensorio.	y	n	n	y	n	n	n	na
A1	51	Dipinto di San Giovanni. Ha un libro. È giovane.	n	na	n	y	y	n	n	na
A1	52	Dipinto di San Matteo. Ha un libro. È più vecchio di San Giovanni.	n	na	n	y	y	n	n	na
A1	53	Dipinto di Gesù che cade con la croce. C'è molta gente. A sinistra si vedono le mura di Gerusalemme.	n	na	n	y	n	n	n	na
A1	54	Dipinto degli apostoli in cerchio. Guardano Gesù che sale in cielo. Si vedono solo i piedi di Gesù.	y	n	n	y	n	n	n	na
A1	55	Dipinto di Maria incoronata da Gesù e Dio Padre.	n	na	n	y	n	n	n	na
A1	56	Dipinto di Maria ed Elisabetta che si abbracciano. Ci sono anche Zaccaria e Giuseppe. Si vede una città.	n	na	n	y	n	n	n	na
A1	57	Dipinto della Natività. Gesù, Maria e Giuseppe sono in una capanna. C'è un angelo in alto e forse un altro angelo vicino.	n	na	n	y	n	n	n	na
A1	58	Dipinto di Gesù a cui mettono la corona di spine. Due soldati gliela mettono sulla testa.	n	na	n	y	n	n	n	na
A1	59	Dipinto di San Giovanni Battista in prigione. È incatenato. Ci sono tre guardie. Si vede un paesaggio e Gesù che appare a due discepoli. C'è un cane grande davanti.	n	na	n	y	n	n	n	na
A1	60	Dipinto di San Giovanni Battista in preghiera. È in ginocchio in un bosco con montagne. Ha un agnello ai piedi. In alto si vedono due teste di angeli.	n	na	n	y	n	n	n	na
A1	61	Sportello di tabernacolo con disegno. C'è un ostensorio con raggi e le lettere di Gesù. L'ostensorio è sopra delle nuvole.	y	n	n	y	n	n	n	na
A1	62	Tavoletta in legno con l'Annunciazione. L'angelo Gabriele porta un giglio a Maria. Maria è in ginocchio e sta leggendo. C'è una colomba con raggi in alto. Si vede un leggio e un letto con tende.	y	n	n	y	n	n	n	na
A1	63	Tavoletta in legno con Gesù sulla croce. Maria e San Giovanni sono ai lati. Guardano in alto. Ci sono nuvole scure e si vede Gerusalemme.	n	na	n	y	n	n	n	na
A1	64	Tavoletta in legno con Gesù che risorge. Gesù esce dalla tomba e va verso il cielo. Ci sono soldati intorno, alcuni dormono, altri hanno paura.	n	na	n	y	n	n	n	na
A1	65	Tavoletta in legno con la Pentecoste. Maria è seduta con un libro. Gli apostoli sono intorno a lei e guardano in alto. C'è una colomba in una nuvola.	y	n	n	y	n	n	n	na
A1	66	Tavoletta in legno con l'incoronazione di Maria. Maria è al centro. Gesù e Dio Padre la incoronano. C'è una colomba. Ci sono molte nuvole.	n	na	n	y	n	n	n	na
A1	67	Tavoletta in legno con la nascita di Gesù. Maria, Gesù, pastori, bue e asino sono in una stalla. La stalla ha un arco con colonne.	n	na	n	y	y	n	n	na
A1	68	Tavoletta in legno con Gesù presentato al tempio. In una chiesa, Maria dà Gesù a un sacerdote. Ci sono altri due sacerdoti e Sant'Anna.	n	na	n	y	n	n	n	na
A1	69	Tavoletta in legno con Gesù flagellato. Gesù è legato a una colonna. Due soldati lo colpiscono. Due sacerdoti guardano.	n	na	n	y	y	n	n	na
A1	70	Tavoletta in legno con Gesù che prega nell'orto. Gesù è in ginocchio e guarda in alto. Gli apostoli dormono per terra.	n	na	n	y	n	n	n	na
A1	71	Tavoletta in legno con Gesù incoronato di spine. Gesù è seduto e legato. Tre soldati gli mettono la corona. Due sacerdoti guardano.	n	na	n	y	n	n	n	na
A1	72	Pianeta rossa con ricami. Dietro ci sono San Dalmazzo, San Primo e San Feliciano. Davanti ci sono San Rocco e San Sebastiano.	y	n	n	y	n	n	n	na
A1	73	Dipinto di Gesù che parla con i dottori. Gesù è seduto su un trono alto in un tempio. I dottori sono intorno a lui.	n	na	n	y	n	n	n	na
A1	74	Dipinto di Gesù flagellato. Gesù è legato a una colonna. Tre soldati lo colpiscono.	n	na	n	y	y	n	n	na
A1	75	Tabernacolo con sei colonnine attorcigliate. Sullo sportello ci sono due scene: sotto l'Annunciazione, sopra non si vede bene.	y	n	n	y	n	n	n	na
A1	76	Sopra il tabernacolo c'è un tronetto per l'ostia. Ha un Crocifisso intagliato. Ci sono due angeli ai lati e una corona sopra.	y	n	n	y	n	n	n	na
A1	77	Dipinto di Sant'Antonio che benedice dei poveri. Il santo cammina con un altro monaco in un paesaggio con rocce.	n	na	n	y	n	n	n	na
A1	78	Dipinto di Sant'Antonio che vede la Madonna. La Madonna con Gesù Bambino appare a Sant'Antonio inginocchiato davanti all'altare. Ci sono monaci dietro una tenda.	n	na	n	y	n	n	n	na
A1	79	Dipinto del miracolo dell'asino. Sant'Antonio mostra l'ostia a un asino e l'asino si inginocchia. C'è un ebreo che guarda.	y	n	n	y	n	n	n	na
A1	80	Dipinto di Sant'Antonio che predica ai pesci. Sopra il dipinto c'è un cartello con delle parole scritte.	n	na	n	y	n	n	n	na
A1	81	Dipinto di Maria con Gesù Bambino. Maria tiene Gesù in braccio. Gesù è avvolto in un panno chiaro. Maria ha un lungo mantello.	n	na	n	y	y	n	n	na
A1	82	Dipinto di Gesù sulla croce. Gesù guarda il cielo. Vicino ci sono: Maria triste, San Giovanni che la sostiene, Giuseppe d'Arimatea, Maria Maddalena in ginocchio, e un soldato a cavallo.	n	na	n	y	n	n	n	na
A1	83	Dipinto di San Giacomo Maggiore. È in piedi in una nicchia con angioletti. Ha un bastone e un mantello rosso. Ha il viso senza barba e capelli corti. Indossa abiti da pellegrino.	y	n	n	y	n	n	n	na
A1	84	Dipinto di un santo in una nicchia con angioletti. Ha un grande mantello verde e un libro. Il suo viso è serio e quasi senza capelli.	y	n	n	y	n	n	n	na
A1	85	Dipinto di Gesù a cui tolgono la tunica. Gesù ha la corona di spine. Due soldati gli tolgono i vestiti. Altri due guardano. Una persona è seduta vicino a un cesto.	y	n	n	y	n	n	n	na
A1	86	Dipinto della deposizione di Gesù dalla croce. Due uomini su una scala calano il corpo di Gesù. San Giovanni e un altro uomo lo prendono. Maria e Maria Maddalena sono vicine.	y	n	n	y	y	n	n	na
A1	87	Dipinto di Gesù deposto nel sepolcro. Due uomini con cappelli grandi mettono Gesù nel sepolcro. Maria, Maria Maddalena e San Giovanni piangono.	y	n	n	y	n	n	n	na
A1	88	Dipinto di Gesù che riceve la croce. Due uomini aiutano Gesù a portare la croce. C'è un soldato a piedi e uno a cavallo con una bandiera romana. Si vede un edificio con un arco.	n	na	n	y	n	n	n	na
A1	89	Dipinto di Gesù che cade con la croce. Due uomini cercano di alzarlo. Uno sta per colpirlo. Un uomo lo tira con una corda. C'è un soldato a cavallo arrabbiato.	n	na	n	y	n	n	n	na
A1	90	Dipinto di Gesù che porta la croce. Dietro ci sono due soldati, uno a cavallo. Simone di Cirene aiuta a portare la croce. Un uomo tira Gesù con una corda.	n	na	n	y	n	n	n	na
A1	91	Dipinto di Gesù che incontra la Veronica. La Veronica si inginocchia con un panno. Un uomo tira Gesù con una corda. Un soldato cerca di colpire Gesù. Simone di Cirene aiuta con la croce.	n	na	n	y	n	n	n	na
A1	92	Dipinto di Gesù caduto sotto la croce. I soldati sono intorno a lui. Uno ha un bastone in mano.	n	na	n	y	y	n	n	na
A1	93	Dipinto di Gesù davanti a Pilato. Pilato è seduto sul trono. Ci sono soldati romani. Gesù ha la corona di spine e una lunga tunica.	n	na	n	y	n	n	n	na
A1	94	Dipinto di Gesù a cui tolgono la tunica. Due soldati gli tolgono i vestiti. C'è molta gente che guarda. Si vedono colline sullo sfondo.	y	n	n	y	n	n	n	na
A1	95	Dipinto della deposizione di Gesù. Gesù è sulle gambe di Maria. Due uomini sono ancora sulle scale della croce. Ci sono due donne tristi, San Giovanni e Maria Maddalena che piange.	n	na	n	y	n	n	n	na
A1	96	Dipinto di Gesù che incontra sua madre. Gesù porta la croce. Maria gli va incontro con le braccia aperte. Ci sono soldati e donne. Si vedono palazzi alti sullo sfondo.	n	na	n	y	n	n	n	na
A1	97	Dipinto di Gesù caduto sotto la croce. I soldati sono intorno. Due alzano la croce. Uno tira Gesù con una corda. Si vedono palazzi alti sullo sfondo.	n	na	n	y	y	n	n	na
A1	98	Dipinto di Gesù messo nel sepolcro. La testa di Gesù è piegata indietro. Tre uomini lo mettono nel sepolcro di marmo. Maria e altre persone guardano.	y	n	n	y	y	n	n	na
A1	99	Statua di San Domenico. È in piedi. Ha un abito bianco e un mantello nero. Tiene un libro con la mano destra.	n	na	n	y	n	n	n	na
A1	100	Affresco con quattro santi. Davanti, due in ginocchio: uno con libro, mitra e bastone, l'altro con una pietra e un libro. Dietro, in piedi: un papa e un vescovo.	y	n	n	y	n	n	n	na
A2	101	Affresco con quattro santi. Davanti, in ginocchio: Santa Chiara con l'ostensorio e Santa Caterina da Siena con un giglio. Dietro, in ginocchio: San Francesco e San Domenico con un giglio.	y	n	n	y	n	n	n	na
A2	102	Affresco con quattro sante. Davanti: Santa Margherita con un drago e un'altra santa. Dietro, sedute su nuvole: Sant'Agata con una palma e un piatto, e un'altra santa.	n	na	n	y	n	n	n	na
A2	103	Affresco dell'incoronazione di Maria. Gesù e Dio Padre incoronano Maria. C'è una colomba in mezzo. In basso: San Giovanni Battista e un santo soldato con una bandiera.	y	n	n	y	y	n	n	na
A2	104	Affresco con due santi che guardano la Sacra Sindone. La Sindone è tenuta da angeli in cielo. Un santo è francescano con delle mitre ai piedi. L'altro ha abiti da principe e tiene una tavola con scritte.	y	n	n	n	n	n	n	na
A2	105	Affresco con quattro santi. Davanti, in ginocchio: San Lorenzo e San Sebastiano con simboli del martirio. Dietro, in piedi: Santo Stefano e un santo vescovo con bastone, mitra ai piedi e due palle.	y	n	n	y	n	n	n	na
A2	106	Affresco con quattro santi. Davanti, in ginocchio: Santa Maria Maddalena con capelli lunghi e un'ampolla, e Santa Caterina d'Alessandria con corona e ruota. Dietro, in piedi: San Rocco che mostra una ferita sulla gamba e San Luigi di Francia.	y	n	n	y	n	n	n	na
A2	107	Affresco con quattro sante. Due in ginocchio davanti. Due in piedi dietro: una con corona e bandiera, l'altra con abiti da suora.	y	n	n	y	n	n	n	na
A2	108	Dipinto con cornice di stucco. C'è una figura con un mantello che svolazza. Ha un'espressione molto seria.	n	na	n	y	y	n	n	na
A2	109	Dipinto con cornice di stucco. Ci sono figure con espressioni molto serie e un po' rigide.	n	na	n	y	y	n	n	na
A2	110	Dipinto del primo mistero del rosario. È intorno a una nicchia sull'altare.	y	n	n	y	y	n	y	n
A2	111	Dipinto del decimo mistero del rosario. È intorno a una nicchia sull'altare.	y	n	n	y	y	n	y	n
A2	112	Dipinto del tredicesimo mistero del rosario. È intorno a una nicchia sull'altare.	y	n	n	y	y	n	y	n
A2	113	Dipinto del secondo mistero del rosario. È intorno a una nicchia sull'altare.	y	n	n	y	y	n	y	n
A2	114	Dipinto del quinto mistero del rosario. È intorno a una nicchia sull'altare.	y	n	n	y	y	n	y	n
A2	115	Dipinto del sesto mistero del rosario. È intorno a una nicchia sull'altare.	y	n	n	y	y	n	y	n
A2	116	Dipinto dell'ottavo mistero del rosario. È intorno a una nicchia sull'altare.	y	n	n	y	y	n	y	n
A2	117	Quattro busti di santi. Hanno la base e il mantello dorati. Dietro sono vuoti per mettere le reliquie.	y	n	n	y	n	n	n	na
A2	118	Dipinto di una storia della Bibbia. Usa molti colori verdi che si accordano con gli affreschi del soffitto.	y	n	n	y	n	n	n	na
A2	119	Dipinto di Salomè ed Erodiade. Salomè ha un piatto con la testa di San Giovanni Battista. Il corpo di San Giovanni è ai suoi piedi. Erodiade ha un fazzoletto. C'è anche un soldato. La scena è in una prigione. I colori sono vivaci, soprattutto nei vestiti e gioielli.	n	na	n	y	y	n	n	na
A2	120	Dipinto di Sant'Antonio Abate e Sant'Agostino. Guardano in alto verso una colomba. Sant'Antonio ha una tunica marrone, un bastone con campanella e un maiale ai piedi. Sant'Agostino ha abiti da vescovo e un bastone pastorale. I colori sono brillanti.	y	n	n	y	y	n	n	na
A2	121	Dipinto della strage degli innocenti. Al centro una mamma cerca di proteggere il suo bambino da un uomo. Un soldato tiene per i capelli un'altra mamma con bambino. Sullo sfondo altre mamme scappano dai soldati. Si vedono edifici e alberi. In alto ci sono angeli che guardano. I colori sono marroni, azzurri e grigi. Il quadro ha una cornice rettangolare decorata.	n	na	n	y	n	n	y	n
A2	122	Dipinto di Gesù risorto che incontra sua madre. Gesù ha la barba e i capelli lunghi. Maria è in ginocchio e gli tiene le mani. Ci sono anche San Pietro, San Giovanni e un angelo. In primo piano c'è un uomo con la corona. Sullo sfondo si vedono edifici. In alto ci sono angeli che suonano. Il quadro ha una cornice rettangolare decorata.	n	na	n	y	n	n	n	na
A2	123	Dipinto di Gesù che appare a Maria Maddalena. Gesù indica il cielo e tiene una zappa. Maria Maddalena è in ginocchio. C'è un albero grande. Sullo sfondo si vede Gesù che esce dalla tomba con un angelo. Il cielo è chiaro con nuvole. Il quadro ha una cornice rettangolare decorata.	n	na	n	y	n	n	n	na
A2	124	Dipinto dell'adorazione dei Magi. Al centro ci sono Maria e Gesù Bambino. San Giuseppe li guarda. Ci sono tre Re Magi: uno in ginocchio, uno in piedi con mantello rosso, e uno dalla pelle scura. Portano regali preziosi. Lo sfondo è scuro. Si vede una colonna. Il quadro ha una cornice dorata con decorazioni.	n	na	n	y	y	n	n	na
A2	125	Dipinto di un santo vescovo. È dipinto a mezzo busto. Guarda in basso e legge un libro. Ha l'aureola e il cappello da vescovo. Indossa abiti rossi e gialli da vescovo. Lo sfondo è scuro. Il quadro ha una cornice dorata con decorazioni.	y	n	n	y	n	n	n	na
A2	126	Dipinto di San Francesco. È dipinto a mezzo busto. Guarda in basso un crocifisso che tiene in mano. Ha l'aureola e la testa rasata. Indossa un saio marrone. Il suo viso è molto pallido. Lo sfondo è scuro. Il quadro ha una cornice dorata con decorazioni.	y	n	n	y	n	n	n	na
A2	127	Statua dorata di San Marco. Sta in piedi e scrive il Vangelo. Ha la barba e l'aureola. Indossa una tunica lunga. Ai suoi piedi c'è un leone. La statua è su una base decorata.	y	n	n	y	n	n	n	na
A2	128	Statua dorata di San Giovanni. Sta in piedi e tiene un libro aperto. Ha il viso giovane senza barba e l'aureola. Indossa una tunica lunga. Vicino a lui c'è un'aquila che vola. La statua è su una base decorata.	y	n	n	y	n	n	n	na
A2	129	Statua dorata di San Paolo. Sta in piedi e guarda a sinistra. Ha la barba e l'aureola. Indossa una tunica lunga. In una mano tiene una spada verso il basso, con l'altra indica in alto. La statua è su una base decorata.	y	n	n	y	n	n	n	na
A2	130	Statua dorata di Gesù Buon Pastore. Sta in piedi e guarda avanti. Ha la barba e l'aureola. Indossa un mantello lungo. Tiene le braccia alzate e indica in alto. Ai suoi piedi c'è un agnello. La statua è su una base decorata.	n	na	n	y	n	n	n	na
A2	131	Statua dorata di Santo Stefano. Sta in piedi e guarda a destra. Ha i capelli corti. Indossa abiti da diacono. Una mano è sul petto, l'altra tiene delle pietre. La statua è su una base decorata.	y	n	n	y	n	n	n	na
A2	132	Statua dorata di San Lorenzo. Sta in piedi e guarda in basso. Ha i capelli corti. Indossa abiti da diacono. Le sue mani sono come se tenessero una graticola, ma questa è andata persa. La statua è su una base decorata.	y	n	n	y	n	n	n	na
A2	133	Aspersorio per l'acqua santa. Ha un manico liscio. Il fusto è decorato con foglie di alloro al centro e in cima.	y	n	n	y	y	n	n	na
A2	134	Turibolo in argento. Ha un piede rotondo con foglie. La parte sotto è decorata con foglie grandi. Il coperchio ha foglie traforate e teste di angeli. Ci sono tre marchi sulla base.	y	n	n	y	y	n	n	na
A2	135	Navicella per l'incenso in argento. Ha una base rotonda con foglie. La parte sotto è decorata. Metà del coperchio è a forma di conchiglia. Ci sono tre marchi sulla base.	y	n	n	y	y	n	n	na
A2	136	Brocca in argento. Ha un piede rotondo con foglie. La coppa è a forma di cono con decorazioni. Il collo ha un beccuccio frastagliato. Il manico è curvo. Ci sono marchi sotto la base.	y	n	n	y	y	n	n	na
A2	137	Pianeta (veste per la messa) di colore argento e oro. Il tessuto ha disegni di nastri intrecciati e fiori di loto. È fatta usando il tessuto in due modi diversi. Non ha bordi dorati ma ha delle croci ricamate.	y	y	n	y	n	n	n	na
A2	138	Piviale (mantello per cerimonie) verde. Ha disegni di vasi con fiori come cardi e melograni. Ha bordi dorati con rombi e una frangia dorata.	y	y	n	y	y	n	n	na
A2	139	Pianeta rossa con ricami. Il tessuto ha disegni di foglie dorate, fiori rossi e blu. Ci sono medaglioni con mazzi di fiori. Ha bordi dorati con disegni di foglie.	y	n	n	y	y	n	n	na
A2	140	Tessuto con disegni fatti intrecciando i fili in modo speciale.	n	na	n	y	n	n	n	na
A2	141	Pianeta viola scuro con ricami dorati e argentati. Ha disegni di nastri con fiori e foglie. I bordi sono decorati con nastri e rametti dorati.	y	n	n	y	y	n	n	na
A2	142	Tessuto bianco con ricami colorati e dorati. Ha disegni di fiori come peonie e garofani. I bordi sono decorati con foglie e fiori dorati.	n	na	n	y	y	n	n	na
A2	143	Tessuto giallo lucido con ricami dorati. I bordi hanno rombi grandi e piccoli argentati. Alcuni pezzi hanno bordi diversi, più nuovi.	n	na	n	y	y	n	n	na
A2	144	Tessuto rosso lucido con ricami dorati. I bordi hanno disegni di grandi foglie dorate legate da un rametto.	n	na	n	y	y	n	n	na
A2	145	Tessuto viola con disegni di vasi pieni di fiori, circondati da ghirlande di uva e grano. I bordi hanno decorazioni dorate di foglie che si arrotolano.	n	na	n	y	n	n	n	na
A2	146	Tessuto rosso con disegni di rametti e mazzi di fiori grandi. I bordi hanno decorazioni dorate di foglie di salice e trifogli.	n	na	n	y	n	n	n	na
A2	147	Tessuto bianco coperto di ricami colorati. Ci sono fiori grandi come garofani e peonie, e disegni più piccoli di foglie, frutta e festoni. I bordi sono argentati con decorazioni dorate.	n	na	n	y	y	n	n	na
A2	148	Tessuto bianco coperto di ricami colorati. Ci sono fiori grandi come garofani e peonie, e disegni più piccoli di foglie, frutta e festoni. I bordi sono argentati con decorazioni dorate.	n	na	n	y	y	n	n	na
A2	149	Velo per calice viola chiaro con ricami argentati. I bordi hanno disegni di foglie intrecciate.	y	n	n	y	n	n	n	na
A2	150	Borsa viola chiara con ricami argentati. I bordi hanno foglie intrecciate e al centro c'è una croce fatta di fiori.	n	na	n	y	n	n	n	na
A2	151	Stola bianca lucida. Alle estremità ha ricami dorati di foglie a forma di S. Al centro c'è una croce dorata con raggi. Ha frange alla fine.	y	n	n	y	y	n	n	na
A2	152	Pianeta bianca con ricami colorati di fiori grandi e frutta tra ricami dorati. Dietro c'è il simbolo di San Bernardino.	y	n	n	y	n	n	n	na
A2	153	Pianeta viola con ricami argentati. Ci sono grandi foglie curve e fiori grandi. Al centro ci sono cesti con mazzi di fiori. I bordi hanno decorazioni di foglie e rametti intrecciati.	y	n	n	y	y	n	n	na
A2	154	Quattro pannelli con dipinti i quattro evangelisti.	y	n	n	n	y	n	n	na
A2	155	Dipinto della nascita di Maria. Si vedono donne che lavano la neonata e Sant'Anna a letto.	n	na	n	y	n	n	n	na
A2	156	Dipinto sul soffitto della chiesa. Mostra Maria portata in cielo dagli angeli.	n	na	n	y	n	n	n	na
A2	157	Dipinto sul soffitto della chiesa. Mostra la Trinità con le virtù teologali e i dottori della chiesa.	y	n	n	y	y	n	y	n
A2	158	Dipinto della nascita di Maria in una cornice con tanti lobi.	y	n	n	y	n	n	n	na
