original_object	original_description	gpt_simplification
dipinto (elemento d'insieme)	L'affresco raffigura un busto di personaggio maschile visto di profilo, imberbe, e reggente un cartiglio. Il profeta è identificato dalla scritta soprastante il riquadro, che riporta il nome di Daniele	L'affresco mostra un busto di un uomo, visto di lato. Non ha barba e tiene in mano un cartiglio, un pezzo di carta. Questo personaggio è identificato come il profeta Daniele, grazie alla scritta sopra il riquadro.
dipinto (elemento d'insieme)	L'affresco raffigura Gioacchino di fronte al sacerdote che gli fa cenno di uscire dal tempio. A sinistra di Gioacchino, vi è un pastore con l'agnello in braccio ed altre figure si stagliano sullo sfondo	L'affresco rappresenta Gioacchino che si trova di fronte a un sacerdote. Il sacerdote fa cenno a Gioacchino di uscire dal tempio. A sinistra di Gioacchino c'è un pastore che tiene un agnello in braccio e ci sono altre figure sullo sfondo.
dipinto (elemento d'insieme)	L'affresco raffigura un busto di personaggio maschile visto di profilo, con lunga barba e reggente un cartiglio. Il profeta è non è identificabile dalla scritta soprastante il riquadro, in quanto consunta	L'affresco mostra un busto di un uomo, visto di lato. Ha una lunga barba e tiene in mano un cartiglio. Questo profeta non è identificabile perché la scritta sopra il riquadro è consumata e illeggibile.
dipinto (elemento d'insieme)	L'affresco raffigura un busto di personaggio maschile visto di tre quarti, barbuto e reggente un cartiglio. Il profeta è identificabile dalla scritta soprastante il riquadro, che riporta il nome di Mosé	L'affresco rappresenta un uomo, visto di tre quarti. Ha una barba lunga e tiene in mano un cartiglio. Questo profeta è identificato come Mosé, grazie alla scritta sopra il riquadro.
dipinto (elemento d'insieme)	L'affresco raffigura San Gioacchino e Sant'Anna che s'incontrano e si abbracciano. A destra di Sant'Anna di proporzioni minori, un'altra figura femminile	L'affresco mostra San Gioacchino e Sant'Anna mentre si incontrano e si abbracciano. A destra di Sant'Anna, c'è un'altra figura femminile che è più piccola.
dipinto (elemento d'insieme)	L'affresco raffigura la nascita di Maria, con S. Anna seduta sul letto con le mani giunte, attorniata da figure femminili, di cui tre intente a preparare il bagno per la piccola Maria ed una quarta che porta del cibo alla partoriente	L'affresco rappresenta la nascita di Maria. Sant'Anna è seduta sul letto con le mani giunte. Ci sono altre figure femminili intorno a lei. Tre di queste figure stanno preparando il bagno per la piccola Maria, mentre una quarta porta del cibo a Sant'Anna.
dipinto (elemento d'insieme)	L'affresco raffigura l'Annunciazione. L'arcangelo Gabriele è raffigurato sulla sinistra inginocchiato, in atto benedicente e tiene in mano un cartiglio, in secondo piano un vaso di gigli fioriti; in alto, in un clipeo con cornice bombata, appare la figura di Dio Padre barbuto. La Vergine è invece raffigurata sulla destra inginocchiata davati al leggio con il libro aperto davanti e le mani giunte, mentre sta per essere raggiunta dalla colomba dello spirito santo. La scena è divisa da una colonna con capitello a foglie d'acanto che regge un soffitto a volte	L'affresco rappresenta l'Annunciazione. L'arcangelo Gabriele è inginocchiato a sinistra. Tiene un cartiglio e benedice. In secondo piano, c'è un vaso di gigli fioriti. In alto, appare Dio Padre barbuto in un clipeo. La Vergine è inginocchiata a destra, davanti a un leggio con un libro aperto e le mani giunte. Sta per essere raggiunta dalla colomba dello Spirito Santo. La scena è divisa da una colonna con capitello a foglie d'acanto.
dipinto (elemento d'insieme)	L'affresco raffigura al centro della scena il sommo sacerdote, abbigliato da una ricca veste broccata e col turbante in testa, che unisce le mani di San Giuseppe raffigurato sulla sinistra e di Maria Vergine, sulla destra. In secondo piano ci sono altre figure, che assistono alla scena. All'estrema destra si affaccia S. Anna	L'affresco mostra il sommo sacerdote, che indossa una veste ricca e un turbante. Unisce le mani di San Giuseppe, a sinistra, e di Maria Vergine, a destra. In secondo piano ci sono altre figure che assistono alla scena. All'estrema destra, si vede Sant'Anna.
dipinto (elemento d'insieme)	Verso l'altare è raffigurata la Madonna in gloria tra gli Apostoli; sotto di loro vi sono angeli musicanti	Verso l'altare, è rappresentata la Madonna in gloria, circondata dagli Apostoli. Sotto di loro ci sono degli angeli che suonano strumenti musicali.
decorazione pittorica (elemento d'insieme)	Entro un ovale, due angeli inginocchiati sorreggono un ostensorio	Dentro un ovale, ci sono due angeli inginocchiati che sorreggono un ostensorio, un oggetto sacro usato nella liturgia.
statua (elemento d'insieme)	San Giovanni, rappresentato con il libro, è riconoscibile per la giovane età	San Giovanni è rappresentato con un libro in mano. È riconoscibile perché è giovane.
statua (elemento d'insieme)	San Matteo, rappresentato con i libro, non presenta altra caratterizzazione iconografica, si distingue da San Giovanni per la differenza di età	San Matteo è rappresentato con un libro in mano. Non ha altre caratteristiche particolari. Si distingue da San Giovanni perché è più grande di età.
dipinto (elemento d'insieme)	In una folla di personaggi, Cristo cade sotto il peso della croce; a sinistra sono raffigurate le mura di Gerusalemme	In una folla di personaggi, Cristo cade sotto il peso della croce. A sinistra, ci sono le mura di Gerusalemme.
dipinto (elemento d'insieme)	Gli apostoli sono raffigurati in cerchio, mentre assistono all'ascensione di Cristo, di cui si vedono solo i piedi	Gli apostoli sono raffigurati in cerchio mentre assistono all'ascensione di Cristo. Di Lui si vedono solo i piedi.
dipinto (elemento d'insieme)	Maria è incoronata da Cristo e Dio Padre	Maria è incoronata da Cristo e da Dio Padre.
dipinto (elemento d'insieme)	Maria ed Elisabetta si abbracciano alla presenza di Zaccaria e Giuseppe, in un'ambientazione cittadina	Maria ed Elisabetta si abbracciano in una città, davanti a Zaccaria e Giuseppe.
dipinto (elemento d'insieme)	Gesù, Maria e Giuseppe sono raffigurati nella capanna, in alto appare un angelo; alla scena è presente un'altra figura, forse un angelo	Gesù, Maria e Giuseppe sono raffigurati nella capanna. In alto, appare un angelo e c'è un'altra figura che potrebbe essere un angelo.
dipinto (elemento d'insieme)	Nello stesso ambiente della scena precedente, Cristo è incoronato di spine da due soldati	Nello stesso ambiente della scena precedente, Cristo è incoronato di spine da due soldati.
dipinto (elemento d'insieme)	Il Battista è incatenato in carcere, vigilato da tre armigeri. A sinistra, sullo sfondo, un ampio paesaggio, chiaramente ispirato a quello locale, Cristo appare a due discepoli. In primo piano è un grosso cane	Il Battista è incatenato in carcere, sorvegliato da tre armigeri. A sinistra, si vede un grande paesaggio. Cristo appare a due discepoli. In primo piano, c'è un grosso cane.
dipinto (elemento d'insieme)	Il Battista, con l'agnello ai piedi, è inginocchiato in preghiera in un paesaggio boschereccio e montagnoso. In alto a sinistra si scorgono due teste d'angioletto	Il Battista, inginocchiato in preghiera, ha l'agnello ai suoi piedi. Si trova in un paesaggio boschereccio e montagnoso. In alto a sinistra, si vedono due teste di angeli.
sportello di tabernacolo (opera isolata)	sportello di tabernacolo centinato con raffigurazione dell'ostensorio raggiato con monogramma cristologico, sorretto da nuvole	Lo sportello di un tabernacolo centinato ha una raffigurazione dell'ostensorio, un oggetto sacro, con raggi e con un monogramma cristologico. È sostenuto da nuvole.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'Annuciazione. L'arcangelo Gabriele, in piedi, avanza da sinistra portando un ramo di gigli alla Vergine inginocchiata che si volge di scatto, mentre era intenta a leggere. In alto, al centro, appare la colomba dello spirito santo immersa in una raggiera. La scena si svolge in un sobrio interno arredato solamente con il leggio e il baldacchino del letto riccamente tendato	Questa tavoletta di legno scolpita a rilievo rappresenta l'Annunciazione. L'arcangelo Gabriele, in piedi, avanza da sinistra con un ramo di gigli. La Vergine è inginocchiata e si volta di scatto. In alto, al centro, c'è la colomba dello Spirito Santo immersa in una raggiera. La scena si svolge in un interno semplice con un leggio e un baldacchino.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la crocifissione. Al centro della scena è raffigurato Cristo crocifisso con ai lati le figure stanti della Madonna, sulla sinistra con le mani giunte, e di San Giovanni Evangelista con le braccia aperte. Entrambi rivolgono il volto verso l'alto. In cielo si avvicinano le nubi minacciose e sullo sfondo si vede Gerusalemme	Questa tavoletta di legno scolpita a rilievo rappresenta la crocifissione. Al centro, Cristo è crocifisso. Ai lati ci sono la Madonna, a sinistra con le mani giunte, e San Giovanni Evangelista a destra con le braccia aperte. Entrambi guardano verso l'alto. In cielo ci sono nubi minacciose e sullo sfondo si vede Gerusalemme.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la resurrezione di Cristo. La scena pone al centro la figura di Cristo appena risorto dal sepolcro si eleva verso il cielo ricoperto di nubi. Attorno al sarcofago marmoreo stanno i soldati romani, alcuni ancora addormentati, altri che indietreggiano spaventati dell'accaduto	Questa tavoletta di legno scolpita a rilievo rappresenta la resurrezione di Cristo. Al centro, Cristo è appena risorto dal sepolcro e si eleva verso il cielo coperto di nubi. Attorno al sarcofago ci sono soldati romani, alcuni addormentati e altri che indietreggiano spaventati.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la Pentecoste. Al centro della scena è raffigurata la Madonna seduta con un libro aperto in mano attorniata dagli apostoli che con le mani giunte rivolgono lo sguardo verso l'alto, ove appare in una nube la colomba dello spirito santo	Questa tavoletta di legno scolpita a rilievo rappresenta la Pentecoste. Al centro, la Madonna è seduta con un libro aperto in mano, circondata dagli apostoli. Gli apostoli guardano verso l'alto, dove appare in una nube la colomba dello Spirito Santo.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'incoronazione di Maria Vergine. In una composizione in cui dominano le fitte nubi che ricoprono tutto lo sfondo, al centro è raffigurata la Vergine con Cristo sulla sinistra e Dio Padre sulla destra che si accingono ad incoronarla. In alto la colomba dello spirito santo	Questa tavoletta di legno scolpita a rilievo rappresenta l'incoronazione di Maria Vergine. In una scena con fitte nubi che coprono lo sfondo, al centro si vede la Vergine con Cristo a sinistra e Dio Padre a destra che si apprestano a incoronarla. In alto c'è la colomba dello Spirito Santo.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'adorazione dei pastori. Entro una mangiatoia posta sotto una costruzione in mattoni con un'incongruente ingresso ad arcata su colonne doriche, è raffigurata la Madonna sulla sinistra, il Bambino nella culla al centro con alle spalle il bue e l'asino, e i tre pastori sulla destra, con morbide vesti corte e calzari	Questa tavoletta di legno scolpita a rilievo rappresenta l'adorazione dei pastori. Nella mangiatoia, sotto una costruzione in mattoni con un ingresso ad arcata su colonne doriche, si vede la Madonna a sinistra, il Bambino nella culla al centro con il bue e l'asino alle spalle, e i tre pastori a destra con vesti corte e calzari.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la presentazione di Gesù al tempio. All'interno di una chiesa dalle alte vetrate centinate, sull'altare la Madonna porge il bambino al sacerdote accompagnato da altri due funzionari religiosi. Alla destra della Madonna c'è Sant'Anna	Questa tavoletta di legno scolpita a rilievo rappresenta la presentazione di Gesù al tempio. Nella chiesa con alte vetrate, la Madonna porge il bambino al sacerdote, accompagnato da altri due funzionari religiosi. A destra della Madonna c'è Sant'Anna.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la flagellazione di Cristo. Al centro della scena è raffigurato Cristo legato ad una colonna, rivestito del solo perizoma annodato. Di fianco vi sono i due soldati romani che lo colpiscono con flagelli. Sulla destra si affacciano ad assistere alla scena due sacerdoti	Questa tavoletta di legno scolpita a rilievo rappresenta la flagellazione di Cristo. Al centro, Cristo è legato a una colonna e indossa solo un perizoma. Due soldati romani lo colpiscono con flagelli. Sulla destra, ci sono due sacerdoti che assistono alla scena.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'orazione di Cristo nell'orto di Getsemani. Sulla destra in alto è raffigurato Cristo inginocchiato in preghiera con il volto rivolto verso l'alto ove c'è una nube purtroppo abrasa. In primo piano, riversi sul prato, dormono gli apostoli	Questa tavoletta di legno scolpita a rilievo rappresenta l'orazione di Cristo nell'orto di Getsemani. A destra in alto, Cristo è inginocchiato in preghiera con il volto rivolto verso l'alto, dove c'è una nube. In primo piano, gli apostoli dormono sul prato.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'incoronazione di spine. Al centro della sena è raffigurato Cristo seduto con le braccia legate, ricoperto da un mantello, mentre tre soldati in piedi dietro di lui sono intenti a porgergli sulla testa la corona di spine. A destra due sacerdoti assistono alla scena	Questa tavoletta di legno scolpita a rilievo rappresenta l'incoronazione di spine. Al centro, Cristo è seduto con le braccia legate, ricoperto da un mantello. Tre soldati in piedi dietro di lui gli pongono sulla testa la corona di spine. A destra, ci sono due sacerdoti che assistono alla scena.
pianeta (elemento d'insieme)	Pianeta di velluto rosso con ricami policromi. Sulla parte posteriore il fregio verticale contiene le immagini dei Santi Dalmazzo, Primo e Feliciano; sulla parte anteriore i Santi Rocco e Sebastiano	Questa è una pianeta di velluto rosso decorata con ricami policromi. Sulla parte posteriore ha un fregio verticale con le immagini dei Santi Dalmazzo, Primo e Feliciano. Sulla parte anteriore ci sono le rappresentazioni dei Santi Rocco e Sebastiano.
dipinto	La scena rappresenta Gesù seduto su di un alto trono all'interno di un tempio attorniato dai Dottori	La scena rappresenta Gesù seduto su un alto trono all'interno di un tempio, circondato dai Dottori.
dipinto	La scena rappresenta Cristo legato alla colonna che subisce la flagellazione da parte di tre soldati	La scena rappresenta Cristo legato alla colonna mentre subisce la flagellazione da parte di tre soldati.
tabernacolo (elemento d'insieme)	Il tabernacolo, ornato da sei colonnine tortili, ha uno sportello con due csene intagliate: quella inferiore raffigura l'Annunciazione, quella superiore non è leggibile dalla fotografia	Il tabernacolo è ornato da sei colonnine tortili. Ha uno sportello con due scene intagliate: quella inferiore rappresenta l'Annunciazione, mentre quella superiore non è leggibile dalla fotografia.
tronetto per esposizione eucaristica (elemento d'insieme)	Al di sopra del tabernacolo è posto il tronetto per l'esposizione eucaristica, il cui dossale, delimitato da volute e teste cherubiche, ha un intaglio raffigurante il Crocifisso. L'oggetto è fiancheggiato da due statue di angeli e sormontato da una corona	Sopra il tabernacolo si trova un tronetto per l'esposizione eucaristica. Il dossale, delimitato da volute e teste cherubiche, ha un intaglio raffigurante il Crocifisso. L'oggetto è fiancheggiato da due statue di angeli e sormontato da una corona.
dipinto (elemento d'insieme)	L'episodio, dipinto a sinistra della lunetta, raffigura il santo, che camminando in un paesaggio roccioso, accompagnato da un altro monaco, benedice un gruppo di mendicanti	L'episodio, dipinto a sinistra della lunetta, rappresenta un santo che cammina in un paesaggio roccioso. È accompagnato da un altro monaco e benedice un gruppo di mendicanti.
