original_object	original_description	gpt_simplification
scomparto di polittico (elemento d'insieme)	Nello scomparto sono raffigurati un santo vescovo, con pianeta, mitra e pastorale, e San Pietro, con il libro e la chiave; il soffitto cassettonato, sorretto da una colonna, è coerente, dal punto di vista della prospettiva, con il pannello centrale. Sullo sfondo è un paesaggio	Nello scomparto ci sono un santo vescovo con pianeta, mitra e pastorale, e San Pietro con un libro e una chiave. Il soffitto cassettonato è sorretto da una colonna e sullo sfondo c'è un paesaggio.
scomparto di polittico (elemento d'insieme)	San Paolo, con la spada, e San Giovanni Battista con la croce di canne, sono in uno spazio architettonico simmetrico rispetto al pannello precedente, e coerente prospetticamente con lo scomparto centrale	San Paolo con una spada e San Giovanni Battista con una croce di canne sono in uno spazio architettonico simmetrico e coerente con il pannello centrale.
scomparto di polittico (elemento d'insieme)	Il Cristo è raffigurato a mezza figura, con le mani sul petto	Cristo è raffigurato a mezza figura con le mani sul petto.
dipinto	Il dipinto raffigura un santo apostolo, a mezzo busto, con un libro in mano e tenente sotto il braccio una croce astile. La figura è barbuta e torce il collo, voltandosi all'indietro e rivolgendo lo sguardo verso l'alto. I colori sono mantenuti in tonalità piuttosto basse e soffocati dallo sporco	Il dipinto mostra un santo apostolo a mezzo busto con un libro in mano e una croce astile sotto il braccio. Ha la barba e guarda indietro verso l'alto. I colori sono scuri e soffocati dallo sporco.
dipinto	Il dipinto raffigura San Simone Apostolo, a mezzo busto, di tre quarti, reggente con la mano destra la sega, attributo che lo identifica	Il dipinto mostra San Simone Apostolo a mezzo busto, di tre quarti, con una sega nella mano destra.
dipinto	Il dipinto raffigura San Bartolomeo, a mezzo busto, il quale con la mano sinistra mostra la pelle scorticata	Il dipinto mostra San Bartolomeo a mezzo busto, che mostra la pelle scorticata con la mano sinistra.
dipinto	Al centro della scena è raffigurato Gesù Bambino sdraiato nella magiatoia, con ai lati S. Giuseppe e la Madonna in adorazione. Sulla destra vi sono il bue, l'asino e la figura del pastore. In alto c'è un angioletto che innalza un cartiglio	Al centro della scena c'è Gesù Bambino sdraiato nella mangiatoia, con San Giuseppe e la Madonna in adorazione ai lati. A destra ci sono il bue, l'asino e un pastore. In alto c'è un angioletto con un cartiglio.
dipinto	Al centro della scena è raffigurato Simeone col Bambino in braccio, davanti al quale in primo piano è raffigurato un cesto di colombi. Sulla sinistra ci sono la Madonna, inginocchiata, e S. Giuseppe in piedi. Sullo stesso lato in secondo piano si affaccia S. Anna ed una figura maschile	Al centro della scena c'è Simeone con il Bambino in braccio e un cesto di colombi davanti. A sinistra ci sono la Madonna inginocchiata e San Giuseppe in piedi. In secondo piano ci sono Sant'Anna e una figura maschile.
dipinto	La scena raffigura Cristo seduto, coperto da un mantello, con le mani legate, mentre gli stanno al fianco due carnefi, di cui uno gli conficca la corona di spine in capo tramite un bastone	La scena mostra Cristo seduto con le mani legate, coperto da un mantello. Due carnefici sono al suo fianco, uno dei quali gli conficca la corona di spine in testa con un bastone.
dipinto	La scena raffigura Cristo crocifisso con con Maria e S. Giovanni da un lato e la Maddalena inginocchiata che abbraccia la croce	La scena mostra Cristo crocifisso con Maria e San Giovanni da un lato e la Maddalena inginocchiata che abbraccia la croce.
scultura (elemento d'insieme)	Il legno è scolpito e dorato solo sul lato anteriore; dietro è cavo. L'Evangelista è raffigurato secondo l'iconografia tradizionale con l'angelo	Il legno è scolpito e dorato solo sul lato anteriore; dietro è cavo. L'Evangelista è raffigurato con un angelo.
scultura (elemento d'insieme)	Il legno è scolpito e dorato solo sul lato anteriore; dietro è cavo. L'Evangelista è raffigurato secondo l'iconografia tradizionale con il leone ai suoi piedi	Il legno è scolpito e dorato solo sul lato anteriore; dietro è cavo. L'Evangelista è raffigurato con un leone ai suoi piedi.
dipinto	Nella parte inferiore del dipinto, diagonalmente, è dipinta la croce, a terra, con Cristo giacente su di essa, vestito del solo perizoma, con il capo cinto dalla corona di spine. Due sgherri, stanno piantando i chiodi nei palmi delle sue mani. Un soldato, con elmo, lorica e lancia in mano, osserva la scena	Nella parte inferiore del dipinto c'è la croce a terra con Cristo giacente su di essa, vestito solo con un perizoma e con una corona di spine. Due sgherri piantano i chiodi nelle sue mani. Un soldato con elmo e lancia osserva la scena.
dipinto	Al centro della scena è raffigurato Cristo crocifisso vestito del solo perizoma e già morto. Ai lati in secondo piano i due ladroni crocifissi; mentre in primo piano ai lati della croce, ci sono: a sinistra la Madonna, a destra la Maddalena inginocchiata a baciare i piedi del Cristo e San Giovanni Evangelista in piedi	Al centro della scena c'è Cristo crocifisso, vestito solo con un perizoma e già morto. Ai lati ci sono i due ladroni crocifissi. In primo piano, a sinistra c'è la Madonna, a destra la Maddalena inginocchiata che bacia i piedi di Cristo e San Giovanni Evangelista in piedi.
dipinto	La scena raffigura il corpo esanime di Cristo, giacente sul sepolcro, avvolto dal sudario e pianto dalla Madonna e San Giovanni Evangelista	La scena mostra il corpo esanime di Cristo giacente sul sepolcro, avvolto nel sudario e pianto dalla Madonna e San Giovanni Evangelista.
dipinto	Al centro della scena è rappresentato il Cristo, in piedi, con la tunica chiara, che rivece la croce, con due sgherri che lo aiutano ad issarla sulla spalla sinistra ed un'altra figura maschile di lato	Al centro della scena c'è Cristo in piedi con una tunica chiara, che riceve la croce. Due sgherri lo aiutano a issarla sulla spalla sinistra e un'altra figura maschile è di lato.
dipinto	Al centro della scena è rappresentato Cristo con la croce sulle spalle, che lungo la salita al Calvario, si ferma di fronte a Maria Vergine piangente	Al centro della scena c'è Cristo con la croce sulle spalle, che si ferma di fronte a Maria Vergine piangente lungo la salita al Calvario.
dipinto	Al centro della scena è rappresentato Cristo con la croce sulla spalla. Sulla destra gli si avvicina la Veronica che tiene in mano il panno nel quale Cristo si è asciugato il volto e sul quale è rimasta la sua impronta. La donna è dipinta di profilo, indossa una veste chiara e il velo sul capo. Sulla sinistra ci sono due soldati che incitano Cristo a camminare	Al centro della scena c'è Cristo con la croce sulla spalla. La Veronica si avvicina con un panno con l'impronta del volto di Cristo. La donna è dipinta di profilo con una veste chiara e un velo sul capo. A sinistra ci sono due soldati che incitano Cristo a camminare.
dipinto	Al centro della scena è raffigurato Cristo, con dietro gli sgherri, che sorregge la croce e si rivolge verso sinistra dove sono raffigurate alcune donne	Al centro della scena c'è Cristo con la croce, seguito dagli sgherri. Si rivolge verso sinistra dove ci sono alcune donne.
dipinto	Nella parte inferiore del dipinto, a destra, è rappresentato il Cristo col capo cinto dalla corona di spine, che cade a terra, sotto il peso della croce. I carnefici incitano il Cristo a sollevarsi; uno di questi, di spalle, tirandolo per la corda che gli cinge la vita	Nella parte inferiore del dipinto, a destra, c'è Cristo con una corona di spine che cade a terra sotto il peso della croce. I carnefici lo incitano a sollevarsi, uno di loro lo tira per la corda che gli cinge la vita.
dipinto (elemento d'insieme)	L'affresco raffigura al centro della scena, incorniciata da un'arcata a tutto sesto, Maria con in braccio il Bambino mentre lo avvicina al sacerdote che gli opera la circoncisione. Ai lati, ci sono due figure maschili, di cui una sulla destra con un libro in mano ed una sulla sinistra, accompagnata da una figura femminile (S. Giuseppe e S. Anna) con due colombi in mano. Sullo sfondo la facciata del tempio	L'affresco mostra Maria con il Bambino in braccio mentre lo avvicina al sacerdote per la circoncisione. Ai lati ci sono due figure maschili, una con un libro e l'altra con due colombi, accompagnata da una figura femminile. Sullo sfondo c'è la facciata del tempio.
dipinto (elemento d'insieme)	L'affresco raffigura la Madonna seduta su di un semplice trono lineare, con Gesù Bambino seduto sulle sue ginocchia. Gesù ha al collo una croce ed è in atto benedicente. La Madonna regge nella mano sinistra un libro	L'affresco mostra la Madonna seduta su un trono semplice con Gesù Bambino sulle ginocchia. Gesù ha una croce al collo ed è in atto benedicente. La Madonna tiene un libro nella mano sinistra.
dipinto (elemento d'insieme)	L'affresco rappresenta due riquadri inquadranti due busti di profeti biblici, che tengono in mano un cartiglio	L'affresco mostra due riquadri con busti di profeti biblici che tengono un cartiglio.
dipinto (elemento d'insieme)	L'affresco rappresenta la resurrezione di Cristo, il quale si erge sul sepolcro, in atto benedicente e col vessillo in mano. Ai lati del sepolcro ci sono i soldati, alcuni dei quali ancora addormentati, mentre di fronte un angelo è seduto sul coperchio del sarcofago poggiato, A destra si affacciano le due Marie con l'ampolla d'olio in mano	L'affresco mostra la resurrezione di Cristo che si erge sul sepolcro in atto benedicente con un vessillo in mano. Ai lati del sepolcro ci sono soldati, alcuni ancora addormentati. Di fronte, un angelo è seduto sul coperchio del sarcofago. A destra ci sono le due Marie con un'ampolla d'olio.
dipinto (elemento d'insieme)	L'affresco rappresenta Maria Maddalena, raffigurata sulla destra, che s'inginocchia davanti Cristo con la vanga in mano. Sull'estrema destra, dietro la figura della Maddalena, si affacciano alcuni apostoli	L'affresco mostra Maria Maddalena inginocchiata davanti a Cristo con una vanga in mano. Dietro di lei ci sono alcuni apostoli.
dipinto (elemento d'insieme)	L'affresco rappresenta al centro della scena Cristo con le mani giunte avvolto da una nube e sospeso da terra. Al lato sinistro ci sono tre angeli adulti a figura intera, di cui uno tiene in mano un cartiglio. Sulla sinistra c'è un gruppo di figure maschili inginocchiate	L'affresco mostra Cristo con le mani giunte, avvolto da una nube e sospeso da terra. A sinistra ci sono tre angeli, uno con un cartiglio. A destra c'è un gruppo di figure maschili inginocchiate.
dipinto (elemento d'insieme)	L'affresco raffigura un busto di personaggio maschile visto di profilo, imberbe, e reggente un cartiglio. Il profeta è identificato dalla scritta soprastante il riquadro, che riporta il nome di Daniele	L'affresco mostra un busto di un uomo visto di profilo, senza barba, che tiene un cartiglio. Sopra il riquadro c'è scritto il nome del profeta Daniele.
dipinto (elemento d'insieme)	L'affresco raffigura Gioacchino di fronte al sacerdote che gli fa cenno di uscire dal tempio. A sinistra di Gioacchino, vi è un pastore con l'agnello in braccio ed altre figure si stagliano sullo sfondo	L'affresco mostra Gioacchino di fronte a un sacerdote che gli fa cenno di uscire dal tempio. A sinistra di Gioacchino c'è un pastore con un agnello in braccio e altre figure sullo sfondo.
dipinto (elemento d'insieme)	L'affresco raffigura un busto di personaggio maschile visto di profilo, con lunga barba e reggente un cartiglio. Il profeta è non è identificabile dalla scritta soprastante il riquadro, in quanto consunta	L'affresco mostra un busto di un uomo visto di profilo, con una lunga barba, che tiene un cartiglio. La scritta sopra il riquadro è consumata e non si può identificare il profeta.
dipinto (elemento d'insieme)	L'affresco raffigura un busto di personaggio maschile visto di tre quarti, barbuto e reggente un cartiglio. Il profeta è identificabile dalla scritta soprastante il riquadro, che riporta il nome di Mosé	L'affresco mostra un busto di un uomo visto di tre quarti, con barba, che tiene un cartiglio. Sopra il riquadro c'è scritto il nome del profeta Mosè.
dipinto (elemento d'insieme)	L'affresco raffigura San Gioacchino e Sant'Anna che s'incontrano e si abbracciano. A destra di Sant'Anna di proporzioni minori, un'altra figura femminile	L'affresco mostra San Gioacchino e Sant'Anna che si incontrano e si abbracciano. A destra di Sant'Anna c'è un'altra figura femminile più piccola.
dipinto (elemento d'insieme)	L'affresco raffigura la nascita di Maria, con S. Anna seduta sul letto con le mani giunte, attorniata da figure femminili, di cui tre intente a preparare il bagno per la piccola Maria ed una quarta che porta del cibo alla partoriente	L'affresco mostra la nascita di Maria. Sant'Anna è seduta sul letto con le mani giunte, circondata da donne. Tre di loro preparano il bagno per la piccola Maria e una quarta porta del cibo a Sant'Anna.
dipinto (elemento d'insieme)	L'affresco raffigura l'Annunciazione. L'arcangelo Gabriele è raffigurato sulla sinistra inginocchiato, in atto benedicente e tiene in mano un cartiglio, in secondo piano un vaso di gigli fioriti; in alto, in un clipeo con cornice bombata, appare la figura di Dio Padre barbuto. La Vergine è invece raffigurata sulla destra inginocchiata davati al leggio con il libro aperto davanti e le mani giunte, mentre sta per essere raggiunta dalla colomba dello spirito santo. La scena è divisa da una colonna con capitello a foglie d'acanto che regge un soffitto a volte	L'affresco mostra l'Annunciazione. L'arcangelo Gabriele è inginocchiato a sinistra, benedicente e con un cartiglio in mano. Dietro di lui c'è un vaso di gigli fioriti. In alto, in un clipeo, appare Dio Padre barbuto. La Vergine è inginocchiata a destra davanti a un leggio con un libro aperto e le mani giunte, mentre la colomba dello Spirito Santo si avvicina. La scena è divisa da una colonna con capitello a foglie d'acanto.
dipinto (elemento d'insieme)	L'affresco raffigura al centro della scena il sommo sacerdote, abbigliato da una ricca veste broccata e col turbante in testa, che unisce le mani di San Giuseppe raffigurato sulla sinistra e di Maria Vergine, sulla destra. In secondo piano ci sono altre figure, che assistono alla scena. All'estrema destra si affaccia S. Anna	L'affresco mostra al centro il sommo sacerdote con una veste ricca e un turbante, che unisce le mani di San Giuseppe a sinistra e Maria Vergine a destra. In secondo piano ci sono altre figure che assistono alla scena. All'estrema destra si affaccia Sant'Anna.
dipinto (elemento d'insieme)	Verso l'altare è raffigurata la Madonna in gloria tra gli Apostoli; sotto di loro vi sono angeli musicanti	Verso l'altare è raffigurata la Madonna in gloria tra gli Apostoli. Sotto di loro ci sono angeli che suonano strumenti musicali.
decorazione pittorica (elemento d'insieme)	Entro un ovale, due angeli inginocchiati sorreggono un ostensorio	Dentro un ovale, due angeli inginocchiati sorreggono un ostensorio.
statua (elemento d'insieme)	San Giovanni, rappresentato con il libro, è riconoscibile per la giovane età	San Giovanni è rappresentato con un libro ed è riconoscibile per la sua giovane età.
statua (elemento d'insieme)	San Matteo, rappresentato con i libro, non presenta altra caratterizzazione iconografica, si distingue da San Giovanni per la differenza di età	San Matteo è rappresentato con un libro, senza altre caratteristiche iconografiche. Si distingue da San Giovanni per la differenza di età.
dipinto (elemento d'insieme)	In una folla di personaggi, Cristo cade sotto il peso della croce; a sinistra sono raffigurate le mura di Gerusalemme	In una folla di persone, Cristo cade sotto il peso della croce. A sinistra ci sono le mura di Gerusalemme.
dipinto (elemento d'insieme)	Gli apostoli sono raffigurati in cerchio, mentre assistono all'ascensione di Cristo, di cui si vedono solo i piedi	Gli apostoli sono raffigurati in cerchio mentre assistono all'ascensione di Cristo, di cui si vedono solo i piedi.
dipinto (elemento d'insieme)	Maria è incoronata da Cristo e Dio Padre	Maria è incoronata da Cristo e Dio Padre.
dipinto (elemento d'insieme)	Maria ed Elisabetta si abbracciano alla presenza di Zaccaria e Giuseppe, in un'ambientazione cittadina	Maria ed Elisabetta si abbracciano alla presenza di Zaccaria e Giuseppe, in un'ambientazione cittadina.
dipinto (elemento d'insieme)	Gesù, Maria e Giuseppe sono raffigurati nella capanna, in alto appare un angelo; alla scena è presente un'altra figura, forse un angelo	Gesù, Maria e Giuseppe sono raffigurati nella capanna. In alto appare un angelo. C'è un'altra figura nella scena, forse un angelo.
dipinto (elemento d'insieme)	Nello stesso ambiente della scena precedente, Cristo è incoronato di spine da due soldati	Nello stesso ambiente della scena precedente, Cristo è incoronato di spine da due soldati.
dipinto (elemento d'insieme)	Il Battista è incatenato in carcere, vigilato da tre armigeri. A sinistra, sullo sfondo, un ampio paesaggio, chiaramente ispirato a quello locale, Cristo appare a due discepoli. In primo piano è un grosso cane	Il Battista è incatenato in carcere, sorvegliato da tre soldati. A sinistra, sullo sfondo, c'è un ampio paesaggio ispirato a quello locale. Cristo appare a due discepoli. In primo piano c'è un grosso cane.
dipinto (elemento d'insieme)	Il Battista, con l'agnello ai piedi, è inginocchiato in preghiera in un paesaggio boschereccio e montagnoso. In alto a sinistra si scorgono due teste d'angioletto	Il Battista, con un agnello ai piedi, è inginocchiato in preghiera in un paesaggio boschivo e montagnoso. In alto a sinistra ci sono due teste di angioletto.
sportello di tabernacolo (opera isolata)	sportello di tabernacolo centinato con raffigurazione dell'ostensorio raggiato con monogramma cristologico, sorretto da nuvole	Lo sportello del tabernacolo è decorato con un ostensorio raggiato con il monogramma cristologico, sorretto da nuvole.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'Annuciazione. L'arcangelo Gabriele, in piedi, avanza da sinistra portando un ramo di gigli alla Vergine inginocchiata che si volge di scatto, mentre era intenta a leggere. In alto, al centro, appare la colomba dello spirito santo immersa in una raggiera. La scena si svolge in un sobrio interno arredato solamente con il leggio e il baldacchino del letto riccamente tendato	Una tavoletta in legno scolpita a rilievo mostra l'Annunciazione. L'arcangelo Gabriele, in piedi, avanza da sinistra con un ramo di gigli verso la Vergine inginocchiata, che si volta di scatto mentre leggeva. In alto, al centro, appare la colomba dello Spirito Santo in una raggiera. La scena si svolge in un interno sobrio con un leggio e un letto riccamente tendato.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la crocifissione. Al centro della scena è raffigurato Cristo crocifisso con ai lati le figure stanti della Madonna, sulla sinistra con le mani giunte, e di San Giovanni Evangelista con le braccia aperte. Entrambi rivolgono il volto verso l'alto. In cielo si avvicinano le nubi minacciose e sullo sfondo si vede Gerusalemme	Una tavoletta in legno scolpita a rilievo mostra la crocifissione. Al centro c'è Cristo crocifisso, con la Madonna a sinistra con le mani giunte e San Giovanni Evangelista a destra con le braccia aperte. Entrambi guardano verso l'alto. In cielo ci sono nubi minacciose e sullo sfondo si vede Gerusalemme.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la resurrezione di Cristo. La scena pone al centro la figura di Cristo appena risorto dal sepolcro si eleva verso il cielo ricoperto di nubi. Attorno al sarcofago marmoreo stanno i soldati romani, alcuni ancora addormentati, altri che indietreggiano spaventati dell'accaduto	Una tavoletta in legno scolpita a rilievo mostra la resurrezione di Cristo. Al centro c'è Cristo appena risorto che si eleva verso il cielo coperto di nubi. Attorno al sarcofago marmoreo ci sono soldati romani, alcuni ancora addormentati, altri spaventati.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la Pentecoste. Al centro della scena è raffigurata la Madonna seduta con un libro aperto in mano attorniata dagli apostoli che con le mani giunte rivolgono lo sguardo verso l'alto, ove appare in una nube la colomba dello spirito santo	Una tavoletta in legno scolpita a rilievo mostra la Pentecoste. Al centro c'è la Madonna seduta con un libro aperto in mano, circondata dagli apostoli che guardano verso l'alto, dove appare la colomba dello Spirito Santo in una nube.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'incoronazione di Maria Vergine. In una composizione in cui dominano le fitte nubi che ricoprono tutto lo sfondo, al centro è raffigurata la Vergine con Cristo sulla sinistra e Dio Padre sulla destra che si accingono ad incoronarla. In alto la colomba dello spirito santo	Una tavoletta in legno scolpita a rilievo mostra l'incoronazione di Maria Vergine. Al centro c'è la Vergine con Cristo a sinistra e Dio Padre a destra che si preparano a incoronarla. In alto c'è la colomba dello Spirito Santo. Lo sfondo è coperto di fitte nubi.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'adorazione dei pastori. Entro una mangiatoia posta sotto una costruzione in mattoni con un'incongruente ingresso ad arcata su colonne doriche, è raffigurata la Madonna sulla sinistra, il Bambino nella culla al centro con alle spalle il bue e l'asino, e i tre pastori sulla destra, con morbide vesti corte e calzari	Una tavoletta in legno scolpita a rilievo mostra l'adorazione dei pastori. In una mangiatoia sotto una costruzione in mattoni con un ingresso ad arcata su colonne doriche, ci sono la Madonna a sinistra, il Bambino nella culla al centro con il bue e l'asino dietro, e tre pastori a destra con vesti corte e calzari.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la presentazione di Gesù al tempio. All'interno di una chiesa dalle alte vetrate centinate, sull'altare la Madonna porge il bambino al sacerdote accompagnato da altri due funzionari religiosi. Alla destra della Madonna c'è Sant'Anna	Una tavoletta in legno scolpita a rilievo mostra la presentazione di Gesù al tempio. In una chiesa con alte vetrate, la Madonna porge il bambino al sacerdote sull'altare, accompagnata da altri due funzionari religiosi. A destra della Madonna c'è Sant'Anna.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la flagellazione di Cristo. Al centro della scena è raffigurato Cristo legato ad una colonna, rivestito del solo perizoma annodato. Di fianco vi sono i due soldati romani che lo colpiscono con flagelli. Sulla destra si affacciano ad assistere alla scena due sacerdoti	Una tavoletta in legno scolpita a rilievo mostra la flagellazione di Cristo. Al centro c'è Cristo legato a una colonna, vestito solo con un perizoma. Due soldati romani lo colpiscono con flagelli. A destra, due sacerdoti assistono alla scena.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'orazione di Cristo nell'orto di Getsemani. Sulla destra in alto è raffigurato Cristo inginocchiato in preghiera con il volto rivolto verso l'alto ove c'è una nube purtroppo abrasa. In primo piano, riversi sul prato, dormono gli apostoli	Una tavoletta in legno scolpita a rilievo mostra l'orazione di Cristo nell'orto di Getsemani. In alto a destra c'è Cristo inginocchiato in preghiera, guardando verso una nube. In primo piano, gli apostoli dormono sul prato.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'incoronazione di spine. Al centro della sena è raffigurato Cristo seduto con le braccia legate, ricoperto da un mantello, mentre tre soldati in piedi dietro di lui sono intenti a porgergli sulla testa la corona di spine. A destra due sacerdoti assistono alla scena	Una tavoletta in legno scolpita a rilievo mostra l'incoronazione di spine. Al centro c'è Cristo seduto con le braccia legate e coperto da un mantello. Tre soldati dietro di lui gli pongono la corona di spine sulla testa. A destra, due sacerdoti assistono alla scena.
pianeta (elemento d'insieme)	Pianeta di velluto rosso con ricami policromi. Sulla parte posteriore il fregio verticale contiene le immagini dei Santi Dalmazzo, Primo e Feliciano; sulla parte anteriore i Santi Rocco e Sebastiano	Una pianeta di velluto rosso con ricami policromi. Sul retro ci sono le immagini dei Santi Dalmazzo, Primo e Feliciano; sul davanti ci sono i Santi Rocco e Sebastiano.
dipinto	La scena rappresenta Gesù seduto su di un alto trono all'interno di un tempio attorniato dai Dottori	La scena mostra Gesù seduto su un alto trono all'interno di un tempio, circondato dai Dottori.
dipinto	La scena rappresenta Cristo legato alla colonna che subisce la flagellazione da parte di tre soldati	La scena mostra Cristo legato a una colonna mentre subisce la flagellazione da parte di tre soldati.
tabernacolo (elemento d'insieme)	Il tabernacolo, ornato da sei colonnine tortili, ha uno sportello con due csene intagliate: quella inferiore raffigura l'Annunciazione, quella superiore non è leggibile dalla fotografia	Il tabernacolo è ornato da sei colonnine tortili e ha uno sportello con due scene intagliate: l'Annunciazione in basso e una scena non leggibile in alto.
tronetto per esposizione eucaristica (elemento d'insieme)	Al di sopra del tabernacolo è posto il tronetto per l'esposizione eucaristica, il cui dossale, delimitato da volute e teste cherubiche, ha un intaglio raffigurante il Crocifisso. L'oggetto è fiancheggiato da due statue di angeli e sormontato da una corona	Sopra il tabernacolo c'è un tronetto per l'esposizione eucaristica, con un dossale decorato con volute e teste di cherubini. Al centro c'è un intaglio del Crocifisso, fiancheggiato da due statue di angeli e sormontato da una corona.
dipinto (elemento d'insieme)	L'episodio, dipinto a sinistra della lunetta, raffigura il santo, che camminando in un paesaggio roccioso, accompagnato da un altro monaco, benedice un gruppo di mendicanti	L'episodio dipinto a sinistra della lunetta mostra un santo che cammina in un paesaggio roccioso, accompagnato da un altro monaco, mentre benedice un gruppo di mendicanti.
dipinto (elemento d'insieme)	Al centro della lunetta, entro una cornice giallina con conchiglia centrale, volute e cornucopie laterali, la Madonna col Bambino che porge il ramo di giglio, appare a Sant'Antonio da Padova inginocchiato davanti all'altare, mentre sullo sfondo un gruppo di monaci s'intravedono da un tendaggio scostato	Al centro della lunetta, dentro una cornice gialla con conchiglia centrale, volute e cornucopie laterali, la Madonna col Bambino porge un ramo di giglio a Sant'Antonio da Padova inginocchiato davanti all'altare. Sullo sfondo si intravedono monaci dietro un tendaggio.
dipinto (elemento d'insieme)	Nella lunetta, a destra è raffigurato il miracolo dell'asino: ossia per convincere un ebreo, Sant'Antonio mostra un ostensorio ad un asino e questi s'inginocchia	Nella lunetta a destra è raffigurato il miracolo dell'asino: per convincere un ebreo, Sant'Antonio mostra un ostensorio a un asino che si inginocchia.
dipinto (elemento d'insieme)	Episodio della vita di Sant'Antonio raffigurante la predica ai pesci. Il dipinto è sormontato da una cartella con iscrizione	Un episodio della vita di Sant'Antonio mostra la predica ai pesci. Il dipinto è sormontato da una cartella con iscrizione.
dipinto (elemento d'insieme)	dipinto raffigurante madonna con bambino in grembo, avvolto da un panneggio di colore chiaro e manto lungo della vergine	Questo dipinto mostra la Madonna che tiene in grembo un bambino. Entrambi sono avvolti in un tessuto chiaro. La Madonna indossa un lungo mantello.
