original_object	original_description	sonnet_simplification
dipinto (elemento d'insieme)	Gli apostoli sono raffigurati in cerchio, mentre assistono all'ascensione di Cristo, di cui si vedono solo i piedi	Questo dipinto mostra gli apostoli che guardano in alto. Si vedono solo i piedi di Gesù che sale al cielo.
dipinto (elemento d'insieme)	Maria è incoronata da Cristo e Dio Padre	Questo dipinto mostra Maria che viene incoronata da Gesù e Dio Padre.
dipinto (elemento d'insieme)	Maria ed Elisabetta si abbracciano alla presenza di Zaccaria e Giuseppe, in un'ambientazione cittadina	Questo dipinto mostra Maria ed Elisabetta che si abbracciano. Ci sono anche Zaccaria e Giuseppe, e si vede una città.
dipinto (elemento d'insieme)	Gesù, Maria e Giuseppe sono raffigurati nella capanna, in alto appare un angelo; alla scena è presente un'altra figura, forse un angelo	Questo dipinto mostra Gesù, Maria e Giuseppe in una capanna. C'è un angelo in alto e forse un altro angelo vicino.
dipinto (elemento d'insieme)	Nello stesso ambiente della scena precedente, Cristo è incoronato di spine da due soldati	Questo dipinto mostra Gesù a cui vengono messe delle spine sulla testa da due soldati.
dipinto (elemento d'insieme)	Il Battista è incatenato in carcere, vigilato da tre armigeri. A sinistra, sullo sfondo, un ampio paesaggio, chiaramente ispirato a quello locale, Cristo appare a due discepoli. In primo piano è un grosso cane	Questo dipinto mostra Giovanni Battista in prigione con delle catene. Ci sono tre guardie, un grande cane, e si vede Gesù che parla con due persone in lontananza.
dipinto (elemento d'insieme)	Il Battista, con l'agnello ai piedi, è inginocchiato in preghiera in un paesaggio boschereccio e montagnoso. In alto a sinistra si scorgono due teste d'angioletto	Questo dipinto mostra Giovanni Battista che prega in un bosco con montagne. C'è un agnello ai suoi piedi e due piccoli angeli in alto.
sportello di tabernacolo (opera isolata)	sportello di tabernacolo centinato con raffigurazione dell'ostensorio raggiato con monogramma cristologico, sorretto da nuvole	Questa è una porta di tabernacolo con un disegno di un contenitore speciale per l'ostia circondato da raggi e nuvole.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'Annuciazione. L'arcangelo Gabriele, in piedi, avanza da sinistra portando un ramo di gigli alla Vergine inginocchiata che si volge di scatto, mentre era intenta a leggere. In alto, al centro, appare la colomba dello spirito santo immersa in una raggiera. La scena si svolge in un sobrio interno arredato solamente con il leggio e il baldacchino del letto riccamente tendato	Questa è una tavoletta di legno che mostra l'angelo Gabriele che parla a Maria. Maria è inginocchiata e c'è una colomba in alto.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la crocifissione. Al centro della scena è raffigurato Cristo crocifisso con ai lati le figure stanti della Madonna, sulla sinistra con le mani giunte, e di San Giovanni Evangelista con le braccia aperte. Entrambi rivolgono il volto verso l'alto. In cielo si avvicinano le nubi minacciose e sullo sfondo si vede Gerusalemme	Questa tavoletta di legno mostra Gesù sulla croce con Maria e Giovanni ai lati. Si vede Gerusalemme in lontananza e nuvole scure in cielo.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la resurrezione di Cristo. La scena pone al centro la figura di Cristo appena risorto dal sepolcro si eleva verso il cielo ricoperto di nubi. Attorno al sarcofago marmoreo stanno i soldati romani, alcuni ancora addormentati, altri che indietreggiano spaventati dell'accaduto	Questa tavoletta di legno mostra Gesù che risorge dalla tomba. Ci sono soldati intorno, alcuni dormono e altri sono spaventati.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la Pentecoste. Al centro della scena è raffigurata la Madonna seduta con un libro aperto in mano attorniata dagli apostoli che con le mani giunte rivolgono lo sguardo verso l'alto, ove appare in una nube la colomba dello spirito santo	Questa tavoletta di legno mostra Maria seduta con un libro, circondata dagli apostoli. Tutti guardano in alto verso una colomba.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'incoronazione di Maria Vergine. In una composizione in cui dominano le fitte nubi che ricoprono tutto lo sfondo, al centro è raffigurata la Vergine con Cristo sulla sinistra e Dio Padre sulla destra che si accingono ad incoronarla. In alto la colomba dello spirito santo	Questa tavoletta di legno mostra Maria che viene incoronata da Gesù e Dio Padre. C'è una colomba in alto e molte nuvole intorno.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'adorazione dei pastori. Entro una mangiatoia posta sotto una costruzione in mattoni con un'incongruente ingresso ad arcata su colonne doriche, è raffigurata la Madonna sulla sinistra, il Bambino nella culla al centro con alle spalle il bue e l'asino, e i tre pastori sulla destra, con morbide vesti corte e calzari	Questa tavoletta di legno mostra Maria, Gesù Bambino in una culla, e tre pastori. Si vedono anche un bue e un asino.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la presentazione di Gesù al tempio. All'interno di una chiesa dalle alte vetrate centinate, sull'altare la Madonna porge il bambino al sacerdote accompagnato da altri due funzionari religiosi. Alla destra della Madonna c'è Sant'Anna	Questa tavoletta di legno mostra Maria che porta Gesù Bambino a un sacerdote in una chiesa. C'è anche Sant'Anna.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante la flagellazione di Cristo. Al centro della scena è raffigurato Cristo legato ad una colonna, rivestito del solo perizoma annodato. Di fianco vi sono i due soldati romani che lo colpiscono con flagelli. Sulla destra si affacciano ad assistere alla scena due sacerdoti	Questa tavoletta di legno mostra Gesù legato a una colonna mentre due soldati lo colpiscono. Due sacerdoti guardano.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'orazione di Cristo nell'orto di Getsemani. Sulla destra in alto è raffigurato Cristo inginocchiato in preghiera con il volto rivolto verso l'alto ove c'è una nube purtroppo abrasa. In primo piano, riversi sul prato, dormono gli apostoli	Questa tavoletta di legno mostra Gesù che prega in un giardino. Gli apostoli dormono vicino a lui.
rilievo	Tavoletta in legno scolpita a rilievo rappresentante l'incoronazione di spine. Al centro della sena è raffigurato Cristo seduto con le braccia legate, ricoperto da un mantello, mentre tre soldati in piedi dietro di lui sono intenti a porgergli sulla testa la corona di spine. A destra due sacerdoti assistono alla scena	Questa tavoletta di legno mostra Gesù seduto mentre tre soldati gli mettono una corona di spine. Due sacerdoti guardano.
pianeta (elemento d'insieme)	Pianeta di velluto rosso con ricami policromi. Sulla parte posteriore il fregio verticale contiene le immagini dei Santi Dalmazzo, Primo e Feliciano; sulla parte anteriore i Santi Rocco e Sebastiano	Questo è un vestito speciale per i sacerdoti. Ha immagini di santi ricamate sopra.
dipinto	La scena rappresenta Gesù seduto su di un alto trono all'interno di un tempio attorniato dai Dottori	Questo dipinto mostra Gesù seduto su un trono in un tempio, circondato da persone sagge.
dipinto	La scena rappresenta Cristo legato alla colonna che subisce la flagellazione da parte di tre soldati	Questo dipinto mostra Gesù legato a una colonna mentre tre soldati lo colpiscono.
tabernacolo (elemento d'insieme)	Il tabernacolo, ornato da sei colonnine tortili, ha uno sportello con due csene intagliate: quella inferiore raffigura l'Annunciazione, quella superiore non è leggibile dalla fotografia	Questo è un tabernacolo con piccole colonne. La porta mostra l'angelo che parla a Maria.
tronetto per esposizione eucaristica (elemento d'insieme)	Al di sopra del tabernacolo è posto il tronetto per l'esposizione eucaristica, il cui dossale, delimitato da volute e teste cherubiche, ha un intaglio raffigurante il Crocifisso. L'oggetto è fiancheggiato da due statue di angeli e sormontato da una corona	Sopra il tabernacolo c'è un posto speciale per mostrare l'ostia. Ha un'immagine di Gesù sulla croce e due statue di angeli. In cima c'è una corona.
dipinto (elemento d'insieme)	L'episodio, dipinto a sinistra della lunetta, raffigura il santo, che camminando in un paesaggio roccioso, accompagnato da un altro monaco, benedice un gruppo di mendicanti	Questo dipinto mostra San Francesco che benedice dei poveri mentre cammina con un altro monaco.
dipinto (elemento d'insieme)	Al centro della lunetta, entro una cornice giallina con conchiglia centrale, volute e cornucopie laterali, la Madonna col Bambino che porge il ramo di giglio, appare a Sant'Antonio da Padova inginocchiato davanti all'altare, mentre sullo sfondo un gruppo di monaci s'intravedono da un tendaggio scostato	Questo dipinto mostra la Madonna con Gesù Bambino che appare a Sant'Antonio. Sant'Antonio è inginocchiato davanti a un altare e ci sono altri monaci in lontananza.
dipinto (elemento d'insieme)	Nella lunetta, a destra è raffigurato il miracolo dell'asino: ossia per convincere un ebreo, Sant'Antonio mostra un ostensorio ad un asino e questi s'inginocchia	Questo dipinto mostra Sant'Antonio che mostra l'ostia a un asino, e l'asino si inginocchia.
dipinto (elemento d'insieme)	Episodio della vita di Sant'Antonio raffigurante la predica ai pesci. Il dipinto è sormontato da una cartella con iscrizione	Questo dipinto mostra Sant'Antonio che parla ai pesci. Sopra c'è un cartello con delle parole scritte.
dipinto (elemento d'insieme)	dipinto raffigurante madonna con bambino in grembo, avvolto da un panneggio di colore chiaro e manto lungo della vergine	Questo dipinto mostra Maria che tiene in braccio Gesù bambino. Gesù è avvolto in un panno chiaro e Maria indossa un lungo mantello.
dipinto	Al centro della scena, occupandola quasi totalmente nel senso dell'altezza, è rappresentata la croce con il Cristo crocifisso che rivolge gli occhi al cielo. A sinistra, stante, con lo sguardo dolente rivolto verso il Cristo, è dipinta la Madonna; di fianco a lei, la sostiene San Giovanni Evangelista, mentre più arretrato appare Giuseppe d'Arimatrea. La Maddalena piange inginocchiata ai piedi della croce, mentre sulla destra in secondo piano si vede la figura di un soldato a cavallo	Questo dipinto mostra Gesù sulla croce. Accanto ci sono Maria, Giovanni, Giuseppe d'Arimatea e Maria Maddalena. C'è anche un soldato a cavallo.
dipinto	Santo stante inquadrato da una nicchia coi pennacchi adorni di teste cherubiche. L'imponente figura, ritoccata nella parte terminale della tunica, è frontale, regge un'asta ed apre il mantello rosso. Il volto è glabro, i capelli corti. L'abbigliamento da pellegrino lo fa riconoscere come San Giacomo Maggiore	Questo dipinto mostra San Giacomo Maggiore in piedi. Indossa abiti da pellegrino, tiene un bastone e apre il suo mantello rosso.
dipinto	Figure di santo stante, incorniciato da una semplice nicchia i cui pennacchi sono adorni di teste cherubiche alate. Il manto verde molto ampio è trattenuto dal santo con entrambe le mani, in mezzo alle quali porta un libro; il volto severo ha i tratti tirati ed è quasi calvo	Questo dipinto mostra un santo in piedi. Ha un grande mantello verde e tiene un libro. Ha pochi capelli e sembra serio.
rilievo	Al centro della scena è rappresentato il Cristo, stante, con la corona di spine sul capo e il torso nudo, mentre due soldati gli tolgono la tunica, altri due assistono, mentre una terza figura, in basso a destra, è seduta a terra accanto ad un cesto	Questo dipinto mostra Gesù con la corona di spine. Due soldati gli tolgono la tunica, mentre altri guardano.
rilievo	La scena raffigura due sgherri che issatisi sulla croce per mezzo di una scala, depongono il corpo di Cristo avvolgendolo in un sudario e passandolo nelle mani di S. Giovanni e di un altra figura maschile di spalle. Sulle sinistra della croce vi son la Madonna e la Maddalena	Questo dipinto mostra Gesù che viene tolto dalla croce. Giovanni e un altro uomo lo prendono, mentre Maria e Maria Maddalena guardano tristi.
rilievo	La scena raffigura il corpo esanime di Cristo, avvolto dal sudario e deposto nel sepolcro da due uomini con ampio copricapo e pianto dalla Madonna, Maddalena e San Giovanni Evangelista	Questo dipinto mostra Gesù morto avvolto in un lenzuolo. Viene messo nella tomba mentre Maria, Maria Maddalena e Giovanni piangono.
rilievo	Al centro della scena è rappresentato il Cristo, in piedi, che rivece la croce, con due sgherri che lo aiutano ad issarla, un soldato con elmo, corta tunica e calzari. Un altro soldato è sulla sinistra, in sella ad un cavallo, che tiene in mano il vessillo romano. Sullo sfondo, una costruzione con arcata	Questo dipinto mostra Gesù che riceve la croce. Ci sono soldati che lo aiutano e uno a cavallo con una bandiera romana.
rilievo	In primo piano è raffigurato Cristo che cade a terra, sotto il peso della croce. Sopra di lui due sgherri cercano di raccoglierlo ed un altro sta per colpirlo con un bastone. Sulla sinistra, in basso, uno sgherro cerca di trascinare Cristo a terra per una fune, mentre in alto inveisce un soldato a cavallo	Questo dipinto mostra Gesù che cade mentre porta la croce. I soldati cercano di farlo alzare e uno lo tira con una corda.
rilievo	In primo piano è raffigurato Cristo, con la croce sulla spalla, mentre dietro di lui sono raffigurati due soldati di cui uno a cavallo. Simone il Cireneo, è rappresentato con turbante in testa, sulla destra, in atto di sollevare la parte terminale della croce. Sulla sinistra, due sgherri di cui uno in basso tira Cristo per la fune	Questo dipinto mostra Gesù che porta la croce. Simone di Cirene lo aiuta, mentre i soldati lo spingono.
rilievo	Al centro della scena è rappresentato Cristo con la croce sulla spalla. Sulla sinistra gli si avvicina la Veronica che tiene in mano il panno nel quale Cristo si asciugherà il volto. La donna è dipinta di profilo ed inginocchiata. Dietro di lei uno sgherro tira la fune che lega Cristo, il quale ha dietro di sè un soldato che gli tiene la testa e cerca di colpirlo con un bastone. All'estrema destra, Simone il Cireneo regge la parte terimnale della croce	Questo dipinto mostra Gesù che porta la croce. La Veronica gli asciuga il viso con un panno. Ci sono soldati che lo spingono e tirano.
rilievo	Al centro della scena vi è Cristo caduto sotto il peso della croce, attorniato dai soldati di cui uno con un bastone in mano	Questo dipinto mostra Gesù caduto sotto il peso della croce. I soldati lo circondano.
